Sample ID,Well (GSC use only),Template type,A. Template size (bases),B. Template stock conc. (ng/ul),C. PCR template: ng needed = ((A/100)*1.25)*2,D. PCR template: Volume=(C/B)ul,E. Plasmid template: volume= (200ng/B)*2,F. Volume PCR H20 needed (10-D or E),G. Volume primer needed 1ul per rxn,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Actual Nanodrop conc (cleaned PCR product undiluted),Sample #,Well,Plate,Haplotype,,,,,
HP-057,HP_240619A,PCR,923,,,2,,8,2,,POC-456,A1,Plate010,Haplotype 1a,,,,Name:,Putnam
HP-058,HP_240619A,PCR,923,,,2,,8,2,,POC-486,B1,Plate010,Haplotype 10,,,,PI:,Putnam
HP-059,HP_240619A,PCR,923,,,2,,8,2,,POC-444,C1,Plate010,Haplotype 10,,,,PO:,178180 
HP-060,HP_240619A,PCR,923,,,2,,8,2,,POC-433,D1,Plate010,Haplotype 1a,,,,email:,hputnam@uri.edu
HP-061,HP_240619A,PCR,923,,,2,,8,2,,POC-421,E1,Plate010,Haplotype 10,,,,,
HP-062,HP_240619A,PCR,923,,,2,,8,2,,POC-538,F1,Plate010,Haplotype 8a,,,,,
HP-063,HP_240619A,PCR,923,,,2,,8,2,,POC-675,G1,Plate010,Haplotype 1a,,,,,
HP-064,HP_240619A,PCR,923,,,2,,8,2,,POC-611,H1,Plate010,Haplotype 3,,,,,
HP-065,HP_240619A,PCR,923,,,2,,8,2,,POC-451,A2,Plate010,Haplotype 1a,,,,,
HP-066,HP_240619A,PCR,923,,,2,,8,2,,POC-452,B2,Plate010,Haplotype 8a,,,,,
HP-067,HP_240619A,PCR,923,,,2,,8,2,,POC-443,C2,Plate010,Haplotype 8a,,,,,
HP-068,HP_240619A,PCR,923,,,2,,8,2,,POC-431,D2,Plate010,Haplotype 1a,,,,,
HP-069,HP_240619A,PCR,923,,,2,,8,2,,POC-420,E2,Plate010,Haplotype 11,,,,,
HP-070,HP_240619A,PCR,923,,,2,,8,2,,POC-652,F2,Plate010,Haplotype 1a,,,,,
HP-071,HP_240619A,PCR,923,,,2,,8,2,,POC-554,G2,Plate010,Haplotype 3,,,,,
HP-072,HP_240619A,PCR,923,,,2,,8,2,,POC-602,H2,Plate010,Haplotype 1a,,,,,
HP-073,HP_240619A,PCR,923,,,2,,8,2,,POC-471,A3,Plate010,,,,,,
HP-074,HP_240619A,PCR,923,,,2,,8,2,,POC-619,B3,Plate010,Haplotype 3,,,,,
HP-075,HP_240619A,PCR,923,,,2,,8,2,,POC-442,C3,Plate010,Haplotype 1a,,,,,
HP-076,HP_240619A,PCR,923,,,2,,8,2,,POC-430,D3,Plate010,Haplotype 11,,,,,
HP-077,HP_240619A,PCR,923,,,2,,8,2,,POC-419,E3,Plate010,Haplotype 11,,,,,
HP-078,HP_240619A,PCR,923,,,2,,8,2,,POC-546,F3,Plate010,Haplotype 5a,,,,,
HP-079,HP_240619A,PCR,923,,,2,,8,2,,POC-542,G3,Plate010,Haplotype 10,,,,,
HP-080,HP_240619A,PCR,923,,,2,,8,2,,POC-543,H3,Plate010,Haplotype 3,,,,,
