Sample ID,Well (GSC use only),Template type,A. Template size (bases),B. Template stock conc. (ng/ul),C. PCR template: ng needed = ((A/100)*1.25)*2,D. PCR template: Volume=(C/B)ul,E. Plasmid template: volume= (200ng/B)*2,F. Volume PCR H20 needed (10-D or E),G. Volume primer needed 1ul per rxn,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Actual Nanodrop conc (cleaned PCR product undiluted),Sample #,Well,Plate,Haplotype,,,,
HP-151,HP_240619B,PCR,923,,,2,,8,2,,POC-534,A1,Plate011,Haplotype 3,,,Name:,Putnam
HP-152,HP_240619B,PCR,923,,,2,,8,2,,POC-722,B1,Plate011,Haplotype 8a,,,PI:,Putnam
HP-153,HP_240619B,PCR,923,,,2,,8,2,,POC-726,C1,Plate011,Haplotype 1a,,,PO:,178180 
HP-154,HP_240619B,PCR,923,,,2,,8,2,,POC-669,D1,Plate011,Haplotype 1a,,,email:,hputnam@uri.edu
HP-155,HP_240619B,PCR,923,,,2,,8,2,,POC-3617,E1,Plate011,Haplotype 1a,,,,
HP-156,HP_240619B,PCR,923,,,2,,8,2,,POC-3650_BIS,F1,Plate011,Haplotype 10,,,,
HP-157,HP_240619B,PCR,923,,,2,,8,2,,POC-3550,G1,Plate011,Haplotype 1a,,,,
HP-158,HP_240619B,PCR,923,,,2,,8,2,,POC-3638,H1,Plate011,Haplotype 5a,,,,
HP-159,HP_240619B,PCR,923,,,2,,8,2,,POC-651,A2,Plate011,Haplotype 10,,,,
HP-160,HP_240619B,PCR,923,,,2,,8,2,,POC-683,B2,Plate011,Haplotype 1a,,,,
HP-161,HP_240619B,PCR,923,,,2,,8,2,,POC-676,C2,Plate011,Haplotype 1a,,,,
HP-162,HP_240619B,PCR,923,,,2,,8,2,,POC-689,D2,Plate011,Haplotype 1a,,,,
HP-163,HP_240619B,PCR,923,,,2,,8,2,,POC-3538,E2,Plate011,,,,,
HP-164,HP_240619B,PCR,923,,,2,,8,2,,POC-3724,F2,Plate011,Haplotype 1a,,,,
HP-165,HP_240619B,PCR,923,,,2,,8,2,,POC-3625,G2,Plate011,,,,,
HP-166,HP_240619B,PCR,923,,,2,,8,2,,POC-3707,H2,Plate011,Haplotype 1a,,,,
HP-167,HP_240619B,PCR,923,,,2,,8,2,,POC-551,A3,Plate011,Haplotype 11,,,,
HP-168,HP_240619B,PCR,923,,,2,,8,2,,POC-668,B3,Plate011,Haplotype 1a,,,,
HP-169,HP_240619B,PCR,923,,,2,,8,2,,POC-670,C3,Plate011,Haplotype 1a,,,,
HP-170,HP_240619B,PCR,923,,,2,,8,2,,POC-664,D3,Plate011,Haplotype 11,,,,
HP-171,HP_240619B,PCR,923,,,2,,8,2,,POC-3532,E3,Plate011,Haplotype 1a,,,,
HP-172,HP_240619B,PCR,923,,,2,,8,2,,POC-3718,F3,Plate011,Haplotype 11,,,,
HP-173,HP_240619B,PCR,923,,,2,,8,2,,POC-3725,G3,Plate011,,,,,
HP-174,HP_240619B,PCR,923,,,2,,8,2,,POC-3546,H3,Plate011,,,,,
