Sample ID,Plate.Well,Template Type,PCR Template Volume (µl),H20 Volume (µl),Primer Volume (µl),Primer Name,gDNA.Extraction.Plate,Original Sample ID,Sanger.Plate.Name,Haplotype
RA1616,A1,PCR,2,8,2,FatP6.1,Plate029,,,
RA1617,B1,PCR,2,8,2,FatP6.1,Plate029,,,
RA1618,C1,PCR,2,8,2,FatP6.1,Plate029,Positive control H2,,
EMPTY FOR JANET,D1,PCR,2,8,2,FatP6.1,Plate029,Negative control,,
RA1619,E1,PCR,2,8,2,FatP6.1,Plate029,,,
RA1620,F1,PCR,2,8,2,FatP6.1,Plate029,,,
RA1621,G1,PCR,2,8,2,FatP6.1,Plate029,,,
RA1622,H1,PCR,2,8,2,FatP6.1,Plate029,,,
RA1623,A2,PCR,2,8,2,FatP6.1,Plate029,,,
RA1624,B2,PCR,2,8,2,FatP6.1,Plate029,,,
RA1625,C2,PCR,2,8,2,FatP6.1,Plate029,,,
RA1626,D2,PCR,2,8,2,FatP6.1,Plate029,,,
RA1627,E2,PCR,2,8,2,FatP6.1,Plate029,,,
RA1628,F2,PCR,2,8,2,FatP6.1,Plate029,,,
RA1629,G2,PCR,2,8,2,FatP6.1,Plate029,,,
RA1630,H2,PCR,2,8,2,FatP6.1,Plate029,,,
RA1631,A3,PCR,2,8,2,FatP6.1,Plate029,,,
RA1632,B3,PCR,2,8,2,FatP6.1,Plate029,,,
RA1633,C3,PCR,2,8,2,FatP6.1,Plate029,,,
RA1634,D3,PCR,2,8,2,FatP6.1,Plate029,,,
RA1635,E3,PCR,2,8,2,FatP6.1,Plate029,,,
RA1636,F3,PCR,2,8,2,FatP6.1,Plate029,,,
RA1637,G3,PCR,2,8,2,FatP6.1,Plate029,,,
RA1638,H3,PCR,2,8,2,FatP6.1,Plate029,,,
RA1639,A4,PCR,2,8,2,FatP6.1,Plate029,,,
RA1640,B4,PCR,2,8,2,FatP6.1,Plate029,,,
RA1641,C4,PCR,2,8,2,FatP6.1,Plate029,,,
RA1642,D4,PCR,2,8,2,FatP6.1,Plate029,,,
RA1643,E4,PCR,2,8,2,FatP6.1,Plate029,,,
RA1644,F4,PCR,2,8,2,FatP6.1,Plate029,,,
RA1645,G4,PCR,2,8,2,FatP6.1,Plate029,,,
RA1646,H4,PCR,2,8,2,FatP6.1,Plate029,,,
RA1647,A5,PCR,2,8,2,FatP6.1,Plate029,,,
RA1648,B5,PCR,2,8,2,FatP6.1,Plate029,,,
RA1649,C5,PCR,2,8,2,FatP6.1,Plate029,,,
RA1650,D5,PCR,2,8,2,FatP6.1,Plate029,,,
RA1651,E5,PCR,2,8,2,FatP6.1,Plate029,,,
RA1652,F5,PCR,2,8,2,FatP6.1,Plate029,,,
RA1653,G5,PCR,2,8,2,FatP6.1,Plate029,,,
RA1654,H5,PCR,2,8,2,FatP6.1,Plate029,,,
RA1655,A6,PCR,2,8,2,FatP6.1,Plate029,,,
RA1656,B6,PCR,2,8,2,FatP6.1,Plate029,,,
RA1657,C6,PCR,2,8,2,FatP6.1,Plate029,,,
RA1658,D6,PCR,2,8,2,FatP6.1,Plate029,,,
RA1659,E6,PCR,2,8,2,FatP6.1,Plate029,,,
RA1660,F6,PCR,2,8,2,FatP6.1,Plate029,,,
RA1661,G6,PCR,2,8,2,FatP6.1,Plate029,,,
RA1662,H6,PCR,2,8,2,FatP6.1,Plate029,,,
RA1663,A7,PCR,2,8,2,FatP6.1,Plate029,,,
RA1664,B7,PCR,2,8,2,FatP6.1,Plate029,,,
RA1665,C7,PCR,2,8,2,FatP6.1,Plate029,,,
RA1666,D7,PCR,2,8,2,FatP6.1,Plate029,,,
RA1667,E7,PCR,2,8,2,FatP6.1,Plate029,,,
RA1668,F7,PCR,2,8,2,FatP6.1,Plate029,,,
RA1669,G7,PCR,2,8,2,FatP6.1,Plate029,,,
RA1670,H7,PCR,2,8,2,FatP6.1,Plate029,,,
RA1671,A8,PCR,2,8,2,FatP6.1,Plate029,,,
RA1672,B8,PCR,2,8,2,FatP6.1,Plate029,,,
RA1673,C8,PCR,2,8,2,FatP6.1,Plate029,,,
RA1674,D8,PCR,2,8,2,FatP6.1,Plate029,,,
RA1675,E8,PCR,2,8,2,FatP6.1,Plate029,,,
RA1676,F8,PCR,2,8,2,FatP6.1,Plate029,,,
RA1677,G8,PCR,2,8,2,FatP6.1,Plate029,,,
RA1678,H8,PCR,2,8,2,FatP6.1,Plate029,,,
RA1679,A9,PCR,2,8,2,FatP6.1,Plate029,,,
RA1680,B9,PCR,2,8,2,FatP6.1,Plate029,,,
RA1681,C9,PCR,2,8,2,FatP6.1,Plate029,,,
RA1682,D9,PCR,2,8,2,FatP6.1,Plate029,,,
RA1683,E9,PCR,2,8,2,FatP6.1,Plate029,,,
RA1684,F9,PCR,2,8,2,FatP6.1,Plate029,,,
RA1685,G9,PCR,2,8,2,FatP6.1,Plate029,,,
RA1686,H9,PCR,2,8,2,FatP6.1,Plate029,,,
RA1687,A10,PCR,2,8,2,FatP6.1,Plate029,,,
RA1688,B10,PCR,2,8,2,FatP6.1,Plate029,,,
RA1689,C10,PCR,2,8,2,FatP6.1,Plate029,,,
RA1690,D10,PCR,2,8,2,FatP6.1,Plate029,,,
RA1691,E10,PCR,2,8,2,FatP6.1,Plate029,,,
RA1692,F10,PCR,2,8,2,FatP6.1,Plate029,,,
RA1693,G10,PCR,2,8,2,FatP6.1,Plate029,,,
RA1694,H10,PCR,2,8,2,FatP6.1,Plate029,,,
RA1695,A11,PCR,2,8,2,FatP6.1,Plate029,,,
RA1696,B11,PCR,2,8,2,FatP6.1,Plate029,,,
RA1697,C11,PCR,2,8,2,FatP6.1,Plate029,,,
RA1698,D11,PCR,2,8,2,FatP6.1,Plate029,,,
RA1699,E11,PCR,2,8,2,FatP6.1,Plate029,,,
RA1700,F11,PCR,2,8,2,FatP6.1,Plate029,,,
RA1701,G11,PCR,2,8,2,FatP6.1,Plate029,,,
RA1702,H11,PCR,2,8,2,FatP6.1,Plate029,,,
RA1703,A12,PCR,2,8,2,FatP6.1,Plate029,,,
RA1704,B12,PCR,2,8,2,FatP6.1,Plate029,,,
RA1705,C12,PCR,2,8,2,FatP6.1,Plate029,,,
RA1706,D12,PCR,2,8,2,FatP6.1,Plate029,,,
RA1707,E12,PCR,2,8,2,FatP6.1,Plate029,,,
RA1708,F12,PCR,2,8,2,FatP6.1,Plate029,,,
RA1709,G12,PCR,2,8,2,FatP6.1,Plate029,,,
RA1710,H12,PCR,2,8,2,FatP6.1,Plate029,,,
