Site ,Transect ,Meters,Yes or No,Double verification 
1,1,0,Yes,
1,1,2,Yes,
1,1,4,Yes,
1,1,6,Yes,
1,1,8,Yes,
1,1,10,Yes,
1,1,12,Yes,
1,1,14,Yes,
1,1,16,Yes,
1,1,18,Yes,
1,1,20,Yes,
1,1,22,Yes,
1,1,24,Yes,
1,1,26,Yes,
1,1,28,Yes,
1,1,30,Yes,
1,1,32,Yes,
1,1,34,Yes,
1,1,36,Yes,
1,1,38,Yes,
1,1,40,Yes,
1,1,42,Yes,
1,1,44,Na,
1,1,46,Yes,
1,1,48,Yes,
1,1,50,Yes,
1,2,0,Yes,
1,2,2,Yes,
1,2,4,Yes,
1,2,6,Yes,
1,2,8,Yes,
1,2,10,Na,
1,2,12,Na,
1,2,14,Yes,
1,2,16,Yes,
1,2,18,Yes,
1,2,20,Na,
1,2,22,Na,
1,2,24,Yes,
1,2,26,Yes,
1,2,28,Yes,
1,2,30,Yes,
1,2,32,Yes,
1,2,34,Yes,
1,2,36,Yes,
1,2,38,Yes,
1,2,40,Yes,
1,2,42,Yes,
1,2,44,Yes,
1,2,46,Na,
1,2,48,Yes,
1,2,50,Yes,
1,3,0,Yes,1
1,3,2,Yes,0
1,3,4,Yes,1
1,3,6,Yes,1
1,3,8,Na,0
1,3,10,Yes,1
1,3,12,Yes,1
1,3,14,Yes,1
1,3,16,Yes,1
1,3,18,Na,0
1,3,20,Yes,1
1,3,22,Yes,1
1,3,24,Yes,1
1,3,26,Na,0
1,3,28,Na,0
1,3,30,Na,0
1,3,32,Na,0
1,3,34,Yes,1
1,3,36,Yes,1
1,3,38,Yes,1
1,3,40,Na,0
1,3,42,Na,0
1,3,44,Na,0
1,3,46,Yes,1
1,3,48,Yes,1
1,3,50,Yes,1
1,4,0,Yes,
1,4,2,Yes,
1,4,4,Na,
1,4,6,Yes,
1,4,8,Yes,
1,4,10,Yes,
1,4,12,Na,
1,4,14,Yes,
1,4,16,Yes,
1,4,18,Yes,
1,4,20,Yes,
1,4,22,Yes,
1,4,24,Yes,
1,4,26,Yes,
1,4,28,Yes,
1,4,30,Yes,
1,4,32,Yes,
1,4,34,Yes,
1,4,36,Yes,
1,4,38,Yes,
1,4,40,Yes,
1,4,42,Yes,
1,4,44,Yes,
1,4,46,Yes,
1,4,48,Yes,
1,4,50,Yes,
1,5,0,Yes,
1,5,2,Yes,
1,5,4,Yes,
1,5,6,Yes,
1,5,8,Yes,
1,5,10,Yes,
1,5,12,Yes,
1,5,14,Yes,
1,5,16,Yes,
1,5,18,Yes,
1,5,20,Yes,
1,5,22,Yes,
1,5,24,Yes,
1,5,26,Yes,
1,5,28,Yes,
1,5,30,Yes,
1,5,32,Yes,
1,5,34,Yes,
1,5,36,Yes,
1,5,38,Yes,
1,5,40,Yes,
1,5,42,Yes,
1,5,44,Yes,
1,5,46,Yes,
1,5,48,Yes,
1,5,50,Yes,
1,6,0,Yes,
1,6,2,Yes,
1,6,4,Yes,
1,6,6,Yes,
1,6,8,Yes,
1,6,10,Yes,
1,6,12,Yes,
1,6,14,Yes,
1,6,16,Yes,
1,6,18,Yes,
1,6,20,Yes,
1,6,22,Yes,
1,6,24,Yes,
1,6,26,Yes,
1,6,28,Yes,
1,6,30,Yes,
1,6,32,Yes,
1,6,34,Yes,
1,6,36,Yes,
1,6,38,Yes,
1,6,40,Yes,
1,6,42,Yes,
1,6,44,Yes,
1,6,46,Yes,
1,6,48,Yes,
1,6,50,Yes,
