Name,Short Code,Functional Group,
Acanthastrea,Acanthastrea,coral,
Acropora,Acropora,coral,
Astreopora,Astreopora,coral,
Cyphastrea,Cyphastrea,coral,
Favia,Favia,coral,
Fungia,Fungia,coral,
Gardinoseris,Gardinoseris,coral,
Herpolitha,Herpolitha,coral,
Leptastrea,Leptastrea,coral,
Leptoseris,Leptoseris,coral,
Lobophyllia,Lobophyllia,coral,
Montastrea,Montastrea,coral,
Montipora,Montipora,coral,
Pachyseris,Pachyseris,coral,
Pavona,Pavona,coral,
Pocillopora,Pocillopora,coral,
Porites,Porites,coral,
Psammacora,Psammacora,coral,
Sandolitha,Sandolitha,coral,
Stylocoeniella,Stylocoeniella,coral,
Tubastrea,Tubastrea,coral,
Macroalgae,Macroalgae,macroalgae,
Ctb,Ctb,CCA Bare Space Algal Turf,
Sand,Sand,sand,
Millepora,Millepora,Millepora,
