site,time_utc,time_local,temperature_c
B23,2023-07-30 23:31:59,2023-07-30 13:31:59,27.222
B23,2023-07-30 23:33:59,2023-07-30 13:33:59,27.2415
B23,2023-07-30 23:35:59,2023-07-30 13:35:59,27.2287
B23,2023-07-30 23:37:59,2023-07-30 13:37:59,27.2116
B23,2023-07-30 23:39:59,2023-07-30 13:39:59,27.2286
B23,2023-07-30 23:41:59,2023-07-30 13:41:59,27.2091
B23,2023-07-30 23:43:59,2023-07-30 13:43:59,27.2263
B23,2023-07-30 23:45:59,2023-07-30 13:45:59,27.2392
B23,2023-07-30 23:47:59,2023-07-30 13:47:59,27.2094
B23,2023-07-30 23:49:59,2023-07-30 13:49:59,27.2105
B23,2023-07-30 23:51:59,2023-07-30 13:51:59,27.2217
B23,2023-07-30 23:53:59,2023-07-30 13:53:59,27.2342
B23,2023-07-30 23:55:59,2023-07-30 13:55:59,27.2611
B23,2023-07-30 23:57:59,2023-07-30 13:57:59,27.2346
B23,2023-07-30 23:59:59,2023-07-30 13:59:59,27.2271
B23,2023-07-31 00:01:59,2023-07-30 14:01:59,27.2173
B23,2023-07-31 00:03:59,2023-07-30 14:03:59,27.2003
B23,2023-07-31 00:05:59,2023-07-30 14:05:59,27.21
B23,2023-07-31 00:07:59,2023-07-30 14:07:59,27.2092
B23,2023-07-31 00:09:59,2023-07-30 14:09:59,27.2011
B23,2023-07-31 00:11:59,2023-07-30 14:11:59,27.1949
B23,2023-07-31 00:13:59,2023-07-30 14:13:59,27.1941
B23,2023-07-31 00:15:59,2023-07-30 14:15:59,27.1943
B23,2023-07-31 00:17:59,2023-07-30 14:17:59,27.1832
B23,2023-07-31 00:19:59,2023-07-30 14:19:59,27.192
B23,2023-07-31 00:21:59,2023-07-30 14:21:59,27.2122
B23,2023-07-31 00:23:59,2023-07-30 14:23:59,27.1901
B23,2023-07-31 00:25:59,2023-07-30 14:25:59,27.1598
B23,2023-07-31 00:27:59,2023-07-30 14:27:59,27.175
B23,2023-07-31 00:29:59,2023-07-30 14:29:59,27.184
B23,2023-07-31 00:31:59,2023-07-30 14:31:59,27.1632
B23,2023-07-31 00:33:59,2023-07-30 14:33:59,27.162
B23,2023-07-31 00:35:59,2023-07-30 14:35:59,27.1791
B23,2023-07-31 00:37:59,2023-07-30 14:37:59,27.1809
B23,2023-07-31 00:39:59,2023-07-30 14:39:59,27.1781
