Number,gDNA.Extraction.Plate,Well,,,,,,
2220,Plate016,A1,,FALSE,,,,
2607,Plate016,A2,,TRUE,,,,
2065,Plate016,A3,,FALSE,,,,
2080,Plate016,A4,,FALSE,,,,
2176,Plate016,A5,,FALSE,,,,
2198,Plate016,A6,,FALSE,,,,
2196,Plate016,A7,,FALSE,,,,
2223,Plate016,A8,,FALSE,,,,
2050,Plate016,A9,,FALSE,,,,
2202,Plate016,A10,,FALSE,,,,
2078,Plate016,A11,,FALSE,,,,
2064,Plate016,A12,,FALSE,,,,
2194,Plate016,B1,,FALSE,,,,
2210,Plate016,B2,,FALSE,,,,
2057,Plate016,B3,,FALSE,,,,
2219,Plate016,B4,,FALSE,,,,
2208,Plate016,B5,,FALSE,,,,
2222,Plate016,B6,,FALSE,,,,
2180,Plate016,B7,,FALSE,,,,
2061,Plate016,B8,,FALSE,,,,
2077,Plate016,B9,,FALSE,,,,
2221,Plate016,B10,,FALSE,,,,
2051,Plate016,B11,,FALSE,,,,
2190,Plate016,B12,,FALSE,,,,
2189,Plate016,C1,,FALSE,,,,
2186,Plate016,C2,,FALSE,,,,
2215,Plate016,C3,,FALSE,,,,
2062,Plate016,C4,,FALSE,,,,
2072,Plate016,C5,,FALSE,,,,
2178,Plate016,C6,,FALSE,,,,
2209,Plate016,C7,,FALSE,,,,
2204,Plate016,C8,,FALSE,,,,
2054,Plate016,C9,,FALSE,,,,
2195,Plate016,C10,,FALSE,,,,
2060,Plate016,C11,,FALSE,,,,
2058,Plate016,C12,,FALSE,,,,
2068,Plate016,D1,,FALSE,,,,
2074,Plate016,D2,,FALSE,,,,
2192,Plate016,D3,,FALSE,,,,
2070,Plate016,D4,,FALSE,,,,
2188,Plate016,D5,,FALSE,,,,
2212,Plate016,D6,,FALSE,,,,
2199,Plate016,D7,,FALSE,,,,
2206,Plate016,D8,,FALSE,,,,
2211,Plate016,D9,,FALSE,,,,
2201,Plate016,D10,,FALSE,,,,
2225,Plate016,D11,,FALSE,,,,
2200,Plate016,D12,,FALSE,,,,
2185,Plate016,E1,,FALSE,,,,
2049,Plate016,E2,,FALSE,,,,
2184,Plate016,E3,,FALSE,,,,
2048,Plate016,E4,,FALSE,,,,
2055,Plate016,E5,,FALSE,,,,
2075,Plate016,E6,,FALSE,,,,
2069,Plate016,E7,,FALSE,,,,
2177,Plate016,E8,,FALSE,,,,
2071,Plate016,E9,,FALSE,,,,
2207,Plate016,E10,,FALSE,,,,
2183,Plate016,E11,,FALSE,,,,
2073,Plate016,E12,,FALSE,,,,
2205,Plate016,F1,,FALSE,,,,
2213,Plate016,F2,,FALSE,,,,
2224,Plate016,F3,,FALSE,,,,
2067,Plate016,F4,,FALSE,,,,
2059,Plate016,F5,,FALSE,,,,
2182,Plate016,F6,,FALSE,,,,
2193,Plate016,F7,,FALSE,,,,
2056,Plate016,F8,,FALSE,,,,
2187,Plate016,F9,,FALSE,,,,
2191,Plate016,F10,,FALSE,,,,
2197,Plate016,F11,,FALSE,,,,
2214,Plate016,F12,,FALSE,,,,
2076,Plate016,G1,,FALSE,,,,
2179,Plate016,G2,,FALSE,,,,
2217,Plate016,G3,,FALSE,,,,
2079,Plate016,G4,,FALSE,,,,
2052,Plate016,G5,,FALSE,,,,
2203,Plate016,G6,,FALSE,,,,
2066,Plate016,G7,,FALSE,,,,
2046,Plate016,G8,,FALSE,,,,
2047,Plate016,G9,,FALSE,,,,
1438,Plate016,G10,,FALSE,,,,
1395,Plate016,G11,,FALSE,,,,
1384,Plate016,G12,,FALSE,,,,
1410,Plate016,H1,,FALSE,,,,
1447,Plate016,H2,,FALSE,,,,
1423,Plate016,H3,,FALSE,,,,
1444,Plate016,H4,,FALSE,,,,
1420,Plate016,H5,,FALSE,,,,
1440,Plate016,H6,,FALSE,,,,
1427,Plate016,H7,,FALSE,,,,
1411,Plate016,H8,,FALSE,,,,
1394,Plate016,H9,,FALSE,,,,
1392,Plate016,H10,,FALSE,,,,
1391,Plate016,H11,,FALSE,,,,
1407,Plate016,H12,,FALSE,,,,
1398,Plate017,A1,,FALSE,,,,
1403,Plate017,A2,,FALSE,,,,
1429,Plate017,A3,,FALSE,,,,
1406,Plate017,A4,,FALSE,,,,
1417,Plate017,A5,,FALSE,,,,
1396,Plate017,A6,,FALSE,,,,
1401,Plate017,A7,,FALSE,,,,
1409,Plate017,A8,,FALSE,,,,
1325,Plate017,A9,,FALSE,,,,
1432,Plate017,A10,,FALSE,,,,
1317,Plate017,A11,,FALSE,,,,
1324,Plate017,A12,,FALSE,,,,
1390,Plate017,B1,,FALSE,,,,
1419,Plate017,B2,,FALSE,,,,
1453,Plate017,B3,,FALSE,,,,
1322,Plate017,B4,,FALSE,,,,
1443,Plate017,B5,,FALSE,,,,
1439,Plate017,B6,,FALSE,,,,
1319,Plate017,B7,,FALSE,,,,
1400,Plate017,B8,,FALSE,,,,
1433,Plate017,B9,,FALSE,,,,
1449,Plate017,B10,,FALSE,,,,
2251,Plate017,B11,,FALSE,,,,
2270,Plate017,B12,,FALSE,,,,
2163,Plate017,C1,,FALSE,,,,
2265,Plate017,C2,,FALSE,,,,
2316,Plate017,C3,,FALSE,,,,
2262,Plate017,C4,,FALSE,,,,
2282,Plate017,C5,,FALSE,,,,
2150,Plate017,C6,,FALSE,,,,
2100,Plate017,C7,,FALSE,,,,
2281,Plate017,C8,,FALSE,,,,
2264,Plate017,C9,,FALSE,,,,
2261,Plate017,C10,,FALSE,,,,
2244,Plate017,C11,,FALSE,,,,
2280,Plate017,C12,,FALSE,,,,
2257,Plate017,D1,,FALSE,,,,
2292,Plate017,D2,,FALSE,,,,
2283,Plate017,D3,,FALSE,,,,
2260,Plate017,D4,,FALSE,,,,
2273,Plate017,D5,,FALSE,,,,
2250,Plate017,D6,,FALSE,,,,
2306,Plate017,D7,,FALSE,,,,
2242,Plate017,D8,,FALSE,,,,
2271,Plate017,D9,,FALSE,,,,
2297,Plate017,D10,,FALSE,,,,
2101,Plate017,D11,,FALSE,,,,
2298,Plate017,D12,,FALSE,,,,
2294,Plate017,E1,,FALSE,,,,
2254,Plate017,E2,,FALSE,,,,
2103,Plate017,E3,,FALSE,,,,
2277,Plate017,E4,,FALSE,,,,
2267,Plate017,E5,,FALSE,,,,
2249,Plate017,E6,,FALSE,,,,
2320,Plate017,E7,,FALSE,,,,
2263,Plate017,E8,,FALSE,,,,
2322,Plate017,E9,,FALSE,,,,
2252,Plate017,E10,,FALSE,,,,
2247,Plate017,E11,,FALSE,,,,
2310,Plate017,E12,,FALSE,,,,
2104,Plate017,F1,,FALSE,,,,
2266,Plate017,F2,,FALSE,,,,
2102,Plate017,F3,,FALSE,,,,
2293,Plate017,F4,,FALSE,,,,
2318,Plate017,F5,,FALSE,,,,
2284,Plate017,F6,,FALSE,,,,
2817,Plate017,F7,,FALSE,,,,
2806,Plate017,F8,,FALSE,,,,
2693,Plate017,F9,,FALSE,,,,
2737,Plate017,F10,,FALSE,,,,
2796,Plate017,F11,,FALSE,,,,
2793,Plate017,F12,,FALSE,,,,
2808,Plate017,G1,,FALSE,,,,
2791,Plate017,G2,,FALSE,,,,
2794,Plate017,G3,,FALSE,,,,
2801,Plate017,G4,,FALSE,,,,
2181,Plate017,G5,,FALSE,,,,
2218,Plate017,G6,,FALSE,,,,
2216,Plate017,G7,,FALSE,,,,
2415,Plate017,G8,,FALSE,,,,
2385,Plate017,G9,,FALSE,,,,
2358,Plate017,G10,,FALSE,,,,
2347,Plate017,G11,,FALSE,,,,
2349,Plate017,G12,,FALSE,,,,
