time_local,time_utc,along_shore_velocity_bottom_mps,data_coverage_along_shore_velocity_bottom_mps,along_shore_velocity_surface_mps,data_coverage_along_shore_velocity_surface_mps,across_shore_velocity_bottom_mps,data_coverage_across_shore_velocity_bottom_mps,across_shore_velocity_surface_mps,data_coverage_across_shore_velocity_surface_mps,current_speed_bottom_mps,data_coverage_current_speed_bottom_mps,current_speed_surface_mps,data_coverage_current_speed_surface_mps,wave_power_adcp,data_coverage_wave_power_adcp,wave_ht_adcp_m,data_coverage_wave_ht_adcp_m,wave_period_adcp_sec,data_coverage_wave_period_adcp_sec,wave_direction_adcp_degtrue,data_coverage_wave_direction_adcp_degtrue,wave_power_sbe26,data_coverage_wave_power_sbe26,wave_ht_sbe26_m,data_coverage_wave_ht_sbe26_m,wave_period_sbe26_sec,data_coverage_wave_period_sbe26_sec,sea_surface_ht_sbe26_m,data_coverage_sea_surface_ht_sbe26_m,upper_watercolumn_temperature_sbe39_C,data_coverage_upper_watercolumn_temperature_sbe39_C,middle_watercolumn_temperature_sbe39_C,data_coverage_middle_watercolumn_temperature_sbe39_C,bottom_watercolumn_temperature_sbe39_C,data_coverage_bottom_watercolumn_temperature_sbe39_C,temperature_shallow_sbe37_C,data_coverage_temperature_shallow_sbe37_C,salinity_shallow_sbe37_psu,data_coverage_salinity_shallow_sbe37_psu,density_shallow_sbe37_sigt,data_coverage_density_shallow_sbe37_sigt,temperature_deeper_sbe37_C,data_coverage_temperature_deeper_sbe37_C,salinity_deeper_sbe37_psu,data_coverage_salinity_deeper_sbe37_psu,density_deeper_sbe37_sigt,data_coverage_density_deeper_sbe37_sigt
2005-01-01 00:00:00,2005-01-01 10:00:00,-999,0.00,-999,0.00,-999,0.00,-999,0.00,-999,0.00,-999,0.00,-999,0.00,-999,0.00,-999,0.00,-999,0.00,2.531e+06,0.44,1.31,0.44,11.8,0.44,10.557,0.44,-999,0.00,-999,0.00,-999,0.00,-999,0.00,-999,0.00,-999,0.00,-999,0.00,-999,0.00,-999,0.00
2006-01-01 00:00:00,2006-01-01 10:00:00,-999,0.00,-999,0.00,-999,0.00,-999,0.00,-999,0.00,-999,0.00,-999,0.00,-999,0.00,-999,0.00,-999,0.00,3.165e+06,1.00,1.42,1.00,12.2,1.00,10.568,1.00,-999,0.00,27.64,0.76,27.61,0.76,27.59,0.66,36.0915,0.66,23.3632,0.66,27.53,0.66,36.1158,0.66,23.4411,0.66
2007-01-01 00:00:00,2007-01-01 10:00:00,0.021,0.45,-0.030,0.45,-0.002,0.45,0.064,0.45,0.068,0.45,0.128,0.45,2.287e+06,0.45,1.26,0.45,12.6,0.45,206.6,0.45,2.793e+06,1.00,1.37,1.00,12.0,1.00,10.560,1.00,27.25,0.37,28.01,0.99,27.99,0.99,28.07,1.00,36.0745,1.00,23.1928,1.00,28.00,1.00,36.0758,1.00,23.2585,1.00
2008-01-01 00:00:00,2008-01-01 10:00:00,0.036,0.23,0.043,0.23,-0.002,0.23,0.032,0.23,0.077,0.23,0.127,0.23,1.415e+06,0.22,0.97,0.22,13.5,0.22,213.1,0.22,2.783e+06,0.96,1.33,0.96,12.3,0.96,10.528,0.96,27.51,1.00,27.50,1.00,27.47,1.00,27.55,1.00,36.2791,1.00,23.5164,1.00,27.48,0.99,36.2582,0.99,23.5659,0.99
2009-01-01 00:00:00,2009-01-01 10:00:00,0.047,0.32,0.039,0.32,-0.007,0.32,0.047,0.32,0.088,0.32,0.143,0.32,2.376e+06,0.34,1.27,0.34,12.8,0.34,214.0,0.34,2.759e+06,1.00,1.35,1.00,12.1,1.00,10.536,1.00,27.87,1.00,27.85,1.00,27.81,1.00,28.80,0.37,36.1337,0.37,23.0021,0.37,27.80,0.82,36.2210,0.82,23.4258,0.82
2010-01-01 00:00:00,2010-01-01 10:00:00,0.061,0.40,0.033,0.06,-0.005,0.40,0.039,0.06,0.088,0.40,0.129,0.06,2.603e+06,0.46,1.33,0.46,12.8,0.46,209.3,0.46,3.041e+06,0.55,1.42,0.55,12.1,0.55,10.501,0.55,27.82,1.00,27.80,1.00,27.77,1.00,26.99,0.47,36.0559,0.47,23.5326,0.47,26.74,0.40,36.0006,0.40,23.6038,0.40
2011-01-01 00:00:00,2011-01-01 10:00:00,0.021,0.70,0.001,0.49,-0.000,0.70,0.057,0.49,0.062,0.70,0.119,0.49,3.475e+06,0.70,1.47,0.70,13.4,0.70,213.2,0.70,3.112e+06,1.38,1.40,1.38,12.6,1.38,10.496,0.94,27.18,1.00,27.17,1.00,27.15,1.00,27.10,0.86,36.2802,0.86,23.6673,0.86,27.19,0.65,36.2821,0.65,23.6709,0.65
2012-01-01 00:00:00,2012-01-01 10:00:00,0.026,0.93,0.008,0.47,-0.006,0.93,0.058,0.47,0.075,0.93,0.129,0.47,2.609e+06,0.92,1.36,0.92,12.6,0.92,213.0,0.92,2.224e+06,0.59,1.28,0.59,11.8,0.59,10.482,0.59,27.66,1.00,27.63,1.00,27.60,1.00,27.68,0.94,36.1810,0.94,23.3997,0.94,27.62,0.94,36.1432,0.94,23.4254,0.94
2013-01-01 00:00:00,2013-01-01 10:00:00,0.034,0.99,0.035,0.17,-0.006,0.99,0.039,0.17,0.085,0.99,0.134,0.17,2.423e+06,0.99,1.24,0.99,12.8,0.99,214.9,0.99,2.651e+06,0.99,1.33,0.99,11.8,0.99,10.488,0.99,27.35,1.00,27.32,1.00,27.28,1.00,27.38,1.00,35.8982,1.00,23.2859,1.00,27.31,1.00,35.8905,1.00,23.3349,1.00
2014-01-01 00:00:00,2014-01-01 10:00:00,0.034,0.70,0.023,0.47,-0.001,0.70,0.059,0.47,0.082,0.70,0.139,0.47,2.597e+06,0.70,1.29,0.70,12.7,0.70,213.5,0.70,2.511e+06,1.00,1.28,1.00,12.1,1.00,10.494,1.00,27.72,1.00,27.69,1.00,27.99,0.54,27.74,1.00,35.6732,1.00,23.0032,1.00,27.69,1.00,35.7294,1.00,23.0924,1.00
