Number_of_days,Deployment,DateTime_GMT-07:00,MAX_surface_PAR,Integrated_surface_PAR,Max_underwater_PAR,Integrated_underwater_PAR,PAR_transmission_to_17.1m_depth,Kd-PAR
1,one,2021-05-19 00:00,1800,22.456,425,5.304,25.4,0.08
2,one,2021-05-20 00:00,2164,36.599,490,8.668,23.5,0.085
3,one,2021-05-21 00:00,1834,39.581,408,8.507,22.9,0.086
4,one,2021-05-22 00:00,1991,39.161,340,6.155,17.1,0.103
5,one,2021-05-23 00:00,1612,37.852,323,6.585,20,0.094
6,one,2021-05-24 00:00,1686,30.998,324,5.659,19.2,0.096
7,one,2021-05-25 00:00,1879,26,348,7.425,20.1,0.094
8,one,2021-05-26 00:00,1842,29.758,313,4.56,17.2,0.103
9,one,2021-05-27 00:00,1570,38.188,372,7.267,22.4,0.087
10,one,2021-05-28 00:00,1600,38.329,357,7.052,21.9,0.089
11,one,2021-05-29 00:00,1675,37.965,295,5.471,17,0.103
12,one,2021-05-30 00:00,1620,34.818,356,6.196,20.6,0.093
13,one,2021-05-31 00:00,1666,35.426,412,7.804,24.9,0.081
14,one,2021-06-01 00:00,1957,34.851,456,8.631,23.5,0.085
15,one,2021-06-02 00:00,1681,29.166,517,6.987,27.1,0.076
16,one,2021-06-03 00:00,2129,28.237,462,6.564,24.6,0.082
17,one,2021-06-04 00:00,2057,29.574,480,7.408,26.1,0.078
18,one,2021-06-05 00:00,1994,30.708,431,7.431,24.8,0.082
19,one,2021-06-06 00:00,1934,35.684,405,6.918,22.3,0.088
20,one,2021-06-07 00:00,1797,36.266,455,8.025,25.6,0.08
21,one,2021-06-08 00:00,1715,30.743,496,8.598,28.9,0.073
22,one,2021-06-09 00:00,1940,34.994,368,6.171,19.5,0.095
23,one,2021-06-10 00:00,1806,34.613,331,5.883,18.1,0.1
24,one,2021-06-11 00:00,992,9.353,174,1.86,20.3,0.093
25,one,2021-06-12 00:00,1755,24.893,348,4.485,19.6,0.095
26,one,2021-06-13 00:00,2421,23.71,533,6.174,30.1,0.07
27,one,2021-06-14 00:00,1864,32.068,451,8.19,24.4,0.083
28,one,2021-06-15 00:00,920,16.542,310,4.007,26.6,0.078
29,one,2021-06-16 00:00,1721,20.887,393,4.672,23.2,0.085
30,one,2021-06-17 00:00,1629,36.518,379,7.155,22.9,0.086
31,one,2021-06-18 00:00,1770,35.535,378,6.965,22,0.088
32,one,2021-06-19 00:00,1429,18.836,369,4.928,27.4,0.076
33,one,2021-06-20 00:00,1820,15.726,394,3.312,21.6,0.09
34,one,2021-06-21 00:00,1761,36.352,369,7.228,21.4,0.09
35,one,2021-06-22 00:00,1712,39.26,337,7.046,20.3,0.093
36,one,2021-06-23 00:00,1827,29.28,383,7.183,21.9,0.089
37,one,2021-06-24 00:00,1864,26.299,302,5.281,18.3,0.099
38,one,2021-06-25 00:00,1895,35.739,415,7.845,23.6,0.084
39,one,2021-06-26 00:00,1697,31.555,370,6.522,22.5,0.087
40,one,2021-06-27 00:00,1881,35.156,441,7.099,23.3,0.085
41,one,2021-06-28 00:00,1880,38.6,419,8.28,23.2,0.086
42,one,2021-06-29 00:00,1691,31.217,429,6.696,23.7,0.084
43,one,2021-06-30 00:00,1376,24.317,389,5.127,23.5,0.085
44,one,2021-07-01 00:00,1727,35.195,439,7.241,24.7,0.082
45,one,2021-07-02 00:00,1691,36.751,398,7.56,24,0.084
46,one,2021-07-03 00:00,1794,38.658,402,7.41,22.7,0.087
47,one,2021-07-04 00:00,2085,22.519,464,5.067,21.7,0.089
48,one,2021-07-05 00:00,1744,37.428,449,8.6,25.1,0.081
49,one,2021-07-06 00:00,1974,32.377,408,7.459,22.2,0.088
50,one,2021-07-07 00:00,2130,35.436,432,6.124,19.5,0.096
51,one,2021-07-08 00:00,1782,32.679,487,6.805,23.2,0.085
52,one,2021-07-09 00:00,1860,38.732,392,6.198,20.1,0.094
53,one,2021-07-10 00:00,1817,27.832,376,5.643,21.4,0.09
54,one,2021-07-11 00:00,1929,16.559,398,4.386,27.7,0.075
55,one,2021-07-12 00:00,1904,30.263,365,5.98,20.4,0.093
56,one,2021-07-13 00:00,2014,27.79,420,4.464,17.8,0.101
57,one,2021-07-14 00:00,1785,34.013,497,6.69,25.2,0.081
58,one,2021-07-15 00:00,2010,28.902,399,5.345,20.4,0.093
59,one,2021-07-16 00:00,1692,38.412,383,7.21,22.2,0.088
60,one,2021-07-17 00:00,2031,20.933,437,3.383,17,0.104
61,one,2021-07-18 00:00,572,10.145,106,2.028,19.3,0.096
62,one,2021-07-19 00:00,2066,25.861,416,5.213,19.1,0.097
63,one,2021-07-20 00:00,1795,40.237,387,7.629,21.3,0.091
64,one,2021-07-21 00:00,2159,30.839,491,6.495,23,0.086
65,one,2021-07-22 00:00,2015,29.681,460,6.552,23.3,0.085
66,one,2021-07-23 00:00,1644,42.255,419,8.482,24.7,0.082
67,one,2021-07-24 00:00,1682,28.815,351,4.775,18.9,0.098
68,one,2021-07-25 00:00,1825,40.035,395,7.056,22,0.089
69,one,2021-07-26 00:00,1839,35.377,409,7.619,23.3,0.085
70,one,2021-07-27 00:00,1311,21.197,200,3.633,16.9,0.104
71,one,2021-07-28 00:00,2237,31.374,495,6.285,23.2,0.085
72,one,2021-07-29 00:00,2301,30.128,491,7.427,22.5,0.087
73,one,2021-07-30 00:00,1805,41.91,441,8.58,24.3,0.083
74,one,2021-07-31 00:00,2152,36.866,541,9.184,26.3,0.078
75,one,2021-08-01 00:00,1674,41.318,444,9.008,25.7,0.079
76,one,2021-08-02 00:00,1924,37.376,525,8.51,26,0.079
77,one,2021-08-03 00:00,2186,41.468,503,8.103,23.2,0.085
78,one,2021-08-04 00:00,2030,25.091,494,6.058,25.3,0.08
79,one,2021-08-05 00:00,1991,32.993,396,6.577,20.5,0.093
80,one,2021-08-06 00:00,1864,41.537,404,7.851,22.3,0.088
81,one,2021-08-07 00:00,1690,42.593,407,7.484,22.9,0.086
82,one,2021-08-08 00:00,2356,39.653,369,6.768,18.4,0.099
