year,site,habitat,depth,quad,patch,benthic_category,percent_cover
2005,LTER_1,Backreef,2,NA1,1,coral,64
2005,LTER_1,Backreef,2,NA1,1,ctb,32
2005,LTER_1,Backreef,2,NA1,1,macroalgae,0
2005,LTER_1,Backreef,2,NA1,1,millepora,0
2005,LTER_1,Backreef,2,NA1,1,sand,4
2005,LTER_1,Backreef,2,NA1,2,coral,52
2005,LTER_1,Backreef,2,NA1,2,ctb,28
2005,LTER_1,Backreef,2,NA1,2,macroalgae,20
2005,LTER_1,Backreef,2,NA1,2,millepora,0
2005,LTER_1,Backreef,2,NA1,2,sand,0
2005,LTER_1,Backreef,2,NA1,3,coral,56
2005,LTER_1,Backreef,2,NA1,3,ctb,40
2005,LTER_1,Backreef,2,NA1,3,macroalgae,4
2005,LTER_1,Backreef,2,NA1,3,millepora,0
2005,LTER_1,Backreef,2,NA1,3,sand,0
2005,LTER_1,Backreef,2,NA1,4,coral,0
2005,LTER_1,Backreef,2,NA1,4,ctb,4
2005,LTER_1,Backreef,2,NA1,4,macroalgae,0
2005,LTER_1,Backreef,2,NA1,4,millepora,0
2005,LTER_1,Backreef,2,NA1,4,sand,96
2005,LTER_1,Backreef,2,NA1,5,coral,16
2005,LTER_1,Backreef,2,NA1,5,ctb,44
2005,LTER_1,Backreef,2,NA1,5,macroalgae,0
2005,LTER_1,Backreef,2,NA1,5,millepora,0
2005,LTER_1,Backreef,2,NA1,5,sand,40
2005,LTER_1,Backreef,2,NA10,1,coral,24
2005,LTER_1,Backreef,2,NA10,1,ctb,12
2005,LTER_1,Backreef,2,NA10,1,macroalgae,8
2005,LTER_1,Backreef,2,NA10,1,millepora,0
2005,LTER_1,Backreef,2,NA10,1,sand,56
2005,LTER_1,Backreef,2,NA10,2,coral,52
2005,LTER_1,Backreef,2,NA10,2,ctb,24
2005,LTER_1,Backreef,2,NA10,2,macroalgae,0
2005,LTER_1,Backreef,2,NA10,2,millepora,24
2005,LTER_1,Backreef,2,NA10,2,sand,0
2005,LTER_1,Backreef,2,NA10,3,coral,72
2005,LTER_1,Backreef,2,NA10,3,ctb,4
2005,LTER_1,Backreef,2,NA10,3,macroalgae,4
2005,LTER_1,Backreef,2,NA10,3,millepora,0
2005,LTER_1,Backreef,2,NA10,3,sand,20
2005,LTER_1,Backreef,2,NA10,4,coral,32
2005,LTER_1,Backreef,2,NA10,4,ctb,40
2005,LTER_1,Backreef,2,NA10,4,macroalgae,0
2005,LTER_1,Backreef,2,NA10,4,millepora,0
2005,LTER_1,Backreef,2,NA10,4,sand,28
2005,LTER_1,Backreef,2,NA10,5,coral,16
2005,LTER_1,Backreef,2,NA10,5,ctb,12
2005,LTER_1,Backreef,2,NA10,5,macroalgae,0
2005,LTER_1,Backreef,2,NA10,5,millepora,0
2005,LTER_1,Backreef,2,NA10,5,sand,72
2005,LTER_1,Backreef,2,NA11,1,coral,12
2005,LTER_1,Backreef,2,NA11,1,ctb,4
2005,LTER_1,Backreef,2,NA11,1,macroalgae,0
2005,LTER_1,Backreef,2,NA11,1,millepora,0
2005,LTER_1,Backreef,2,NA11,1,sand,84
2005,LTER_1,Backreef,2,NA11,2,coral,16
2005,LTER_1,Backreef,2,NA11,2,ctb,52
2005,LTER_1,Backreef,2,NA11,2,macroalgae,12
2005,LTER_1,Backreef,2,NA11,2,millepora,20
2005,LTER_1,Backreef,2,NA11,2,sand,0
2005,LTER_1,Backreef,2,NA11,3,coral,88
2005,LTER_1,Backreef,2,NA11,3,ctb,12
2005,LTER_1,Backreef,2,NA11,3,macroalgae,0
2005,LTER_1,Backreef,2,NA11,3,millepora,0
2005,LTER_1,Backreef,2,NA11,3,sand,0
2005,LTER_1,Backreef,2,NA11,4,coral,4
2005,LTER_1,Backreef,2,NA11,4,ctb,88
2005,LTER_1,Backreef,2,NA11,4,macroalgae,0
2005,LTER_1,Backreef,2,NA11,4,millepora,0
2005,LTER_1,Backreef,2,NA11,4,sand,8
2005,LTER_1,Backreef,2,NA11,5,coral,20
2005,LTER_1,Backreef,2,NA11,5,ctb,64
2005,LTER_1,Backreef,2,NA11,5,macroalgae,0
2005,LTER_1,Backreef,2,NA11,5,millepora,0
2005,LTER_1,Backreef,2,NA11,5,sand,16
2005,LTER_1,Backreef,2,NA12,1,coral,56
2005,LTER_1,Backreef,2,NA12,1,ctb,32
2005,LTER_1,Backreef,2,NA12,1,macroalgae,4
2005,LTER_1,Backreef,2,NA12,1,millepora,0
2005,LTER_1,Backreef,2,NA12,1,sand,8
2005,LTER_1,Backreef,2,NA12,2,coral,48
2005,LTER_1,Backreef,2,NA12,2,ctb,52
2005,LTER_1,Backreef,2,NA12,2,macroalgae,0
2005,LTER_1,Backreef,2,NA12,2,millepora,0
2005,LTER_1,Backreef,2,NA12,2,sand,0
2005,LTER_1,Backreef,2,NA12,3,coral,44
2005,LTER_1,Backreef,2,NA12,3,ctb,36
2005,LTER_1,Backreef,2,NA12,3,macroalgae,20
2005,LTER_1,Backreef,2,NA12,3,millepora,0
2005,LTER_1,Backreef,2,NA12,3,sand,0
2005,LTER_1,Backreef,2,NA12,4,coral,80
2005,LTER_1,Backreef,2,NA12,4,ctb,20
2005,LTER_1,Backreef,2,NA12,4,macroalgae,0
2005,LTER_1,Backreef,2,NA12,4,millepora,0
2005,LTER_1,Backreef,2,NA12,4,sand,0
2005,LTER_1,Backreef,2,NA12,5,coral,28
2005,LTER_1,Backreef,2,NA12,5,ctb,56
2005,LTER_1,Backreef,2,NA12,5,macroalgae,0
2005,LTER_1,Backreef,2,NA12,5,millepora,0
2005,LTER_1,Backreef,2,NA12,5,sand,16
2005,LTER_1,Backreef,2,NA13,1,coral,84
2005,LTER_1,Backreef,2,NA13,1,ctb,0
2005,LTER_1,Backreef,2,NA13,1,macroalgae,8
2005,LTER_1,Backreef,2,NA13,1,millepora,0
2005,LTER_1,Backreef,2,NA13,1,sand,8
2005,LTER_1,Backreef,2,NA13,2,coral,0
2005,LTER_1,Backreef,2,NA13,2,ctb,20
2005,LTER_1,Backreef,2,NA13,2,macroalgae,0
2005,LTER_1,Backreef,2,NA13,2,millepora,0
2005,LTER_1,Backreef,2,NA13,2,sand,80
2005,LTER_1,Backreef,2,NA13,3,coral,44
2005,LTER_1,Backreef,2,NA13,3,ctb,48
2005,LTER_1,Backreef,2,NA13,3,macroalgae,8
2005,LTER_1,Backreef,2,NA13,3,millepora,0
2005,LTER_1,Backreef,2,NA13,3,sand,0
2005,LTER_1,Backreef,2,NA13,4,coral,52
2005,LTER_1,Backreef,2,NA13,4,ctb,36
2005,LTER_1,Backreef,2,NA13,4,macroalgae,12
2005,LTER_1,Backreef,2,NA13,4,millepora,0
2005,LTER_1,Backreef,2,NA13,4,sand,0
2005,LTER_1,Backreef,2,NA13,5,coral,32
2005,LTER_1,Backreef,2,NA13,5,ctb,16
2005,LTER_1,Backreef,2,NA13,5,macroalgae,12
2005,LTER_1,Backreef,2,NA13,5,millepora,0
2005,LTER_1,Backreef,2,NA13,5,sand,40
2005,LTER_1,Backreef,2,NA14,1,coral,68
2005,LTER_1,Backreef,2,NA14,1,ctb,8
2005,LTER_1,Backreef,2,NA14,1,macroalgae,0
2005,LTER_1,Backreef,2,NA14,1,millepora,0
2005,LTER_1,Backreef,2,NA14,1,sand,24
2005,LTER_1,Backreef,2,NA14,2,coral,68
2005,LTER_1,Backreef,2,NA14,2,ctb,4
2005,LTER_1,Backreef,2,NA14,2,macroalgae,4
2005,LTER_1,Backreef,2,NA14,2,millepora,0
2005,LTER_1,Backreef,2,NA14,2,sand,24
2005,LTER_1,Backreef,2,NA14,3,coral,12
2005,LTER_1,Backreef,2,NA14,3,ctb,56
2005,LTER_1,Backreef,2,NA14,3,macroalgae,32
2005,LTER_1,Backreef,2,NA14,3,millepora,0
2005,LTER_1,Backreef,2,NA14,3,sand,0
2005,LTER_1,Backreef,2,NA14,4,coral,28
2005,LTER_1,Backreef,2,NA14,4,ctb,56
2005,LTER_1,Backreef,2,NA14,4,macroalgae,0
2005,LTER_1,Backreef,2,NA14,4,millepora,0
2005,LTER_1,Backreef,2,NA14,4,sand,16
2005,LTER_1,Backreef,2,NA14,5,coral,40
2005,LTER_1,Backreef,2,NA14,5,ctb,32
2005,LTER_1,Backreef,2,NA14,5,macroalgae,0
2005,LTER_1,Backreef,2,NA14,5,millepora,0
2005,LTER_1,Backreef,2,NA14,5,sand,28
2005,LTER_1,Backreef,2,NA15,1,coral,12
