year,site,habitat,depth,quad,patch,coral,macroalgae,sand,millepora,ctb,sub_squares,note
2005,LTER_1,Backreef,2,NA1,1,64,0,4,0,32,25,na
2005,LTER_1,Backreef,2,NA1,2,52,20,0,0,28,25,na
2005,LTER_1,Backreef,2,NA1,3,56,4,0,0,40,25,na
2005,LTER_1,Backreef,2,NA1,4,0,0,96,0,4,25,na
2005,LTER_1,Backreef,2,NA1,5,16,0,40,0,44,25,na
2005,LTER_1,Backreef,2,NA10,1,24,8,56,0,12,25,na
2005,LTER_1,Backreef,2,NA10,2,52,0,0,24,24,25,na
2005,LTER_1,Backreef,2,NA10,3,72,4,20,0,4,25,na
2005,LTER_1,Backreef,2,NA10,4,32,0,28,0,40,25,na
2005,LTER_1,Backreef,2,NA10,5,16,0,72,0,12,25,na
2005,LTER_1,Backreef,2,NA11,1,12,0,84,0,4,25,na
2005,LTER_1,Backreef,2,NA11,2,16,12,0,20,52,25,na
2005,LTER_1,Backreef,2,NA11,3,88,0,0,0,12,25,na
2005,LTER_1,Backreef,2,NA11,4,4,0,8,0,88,25,na
2005,LTER_1,Backreef,2,NA11,5,20,0,16,0,64,25,na
2005,LTER_1,Backreef,2,NA12,1,56,4,8,0,32,25,na
2005,LTER_1,Backreef,2,NA12,2,48,0,0,0,52,25,na
2005,LTER_1,Backreef,2,NA12,3,44,20,0,0,36,25,na
2005,LTER_1,Backreef,2,NA12,4,80,0,0,0,20,25,na
2005,LTER_1,Backreef,2,NA12,5,28,0,16,0,56,25,na
2005,LTER_1,Backreef,2,NA13,1,84,8,8,0,0,25,na
2005,LTER_1,Backreef,2,NA13,2,0,0,80,0,20,25,na
2005,LTER_1,Backreef,2,NA13,3,44,8,0,0,48,25,na
2005,LTER_1,Backreef,2,NA13,4,52,12,0,0,36,25,na
2005,LTER_1,Backreef,2,NA13,5,32,12,40,0,16,25,na
2005,LTER_1,Backreef,2,NA14,1,68,0,24,0,8,25,na
2005,LTER_1,Backreef,2,NA14,2,68,4,24,0,4,25,na
2005,LTER_1,Backreef,2,NA14,3,12,32,0,0,56,25,na
2005,LTER_1,Backreef,2,NA14,4,28,0,16,0,56,25,na
2005,LTER_1,Backreef,2,NA14,5,40,0,28,0,32,25,na
2005,LTER_1,Backreef,2,NA15,1,12,0,80,0,8,25,na
2005,LTER_1,Backreef,2,NA15,2,76,4,0,0,20,25,na
2005,LTER_1,Backreef,2,NA15,3,4,0,8,0,88,25,na
2005,LTER_1,Backreef,2,NA15,4,0,0,84,0,16,25,na
2005,LTER_1,Backreef,2,NA15,5,100,0,0,0,0,25,na
2005,LTER_1,Backreef,2,NA16,1,72,4,0,0,24,25,na
2005,LTER_1,Backreef,2,NA16,2,48,0,4,0,48,25,na
2005,LTER_1,Backreef,2,NA16,3,72,12,4,0,12,25,na
2005,LTER_1,Backreef,2,NA16,4,0,0,8,0,92,25,na
2005,LTER_1,Backreef,2,NA16,5,80,4,0,0,16,25,na
2005,LTER_1,Backreef,2,NA17,1,36,0,4,0,60,25,na
2005,LTER_1,Backreef,2,NA17,2,44,0,0,0,56,25,na
2005,LTER_1,Backreef,2,NA17,3,24,0,0,0,76,25,na
2005,LTER_1,Backreef,2,NA17,4,0,5,15,0,80,20,some sub squares omitted
2005,LTER_1,Backreef,2,NA17,5,0,0,64,0,36,25,na
2005,LTER_1,Backreef,2,NA18,1,48,0,0,0,52,25,na
2005,LTER_1,Backreef,2,NA18,2,20,0,0,0,80,25,na
2005,LTER_1,Backreef,2,NA18,3,48,0,0,0,52,25,na
2005,LTER_1,Backreef,2,NA18,4,4,0,68,0,28,25,na
2005,LTER_1,Backreef,2,NA18,5,4,4,24,0,68,25,na
2005,LTER_1,Backreef,2,NA19,1,60,0,12,0,28,25,na
2005,LTER_1,Backreef,2,NA19,2,64,0,0,0,36,25,na
2005,LTER_1,Backreef,2,NA19,3,4,0,0,0,96,25,na
2005,LTER_1,Backreef,2,NA19,4,28,0,32,0,40,25,na
2005,LTER_1,Backreef,2,NA19,5,4,0,24,0,72,25,na
2005,LTER_1,Backreef,2,NA2,1,84,0,4,0,12,25,na
2005,LTER_1,Backreef,2,NA2,2,24,16,0,0,60,25,na
2005,LTER_1,Backreef,2,NA2,3,92,0,0,0,8,25,na
2005,LTER_1,Backreef,2,NA2,4,0,0,100,0,0,25,na
2005,LTER_1,Backreef,2,NA2,5,60,20,4,0,16,25,na
2005,LTER_1,Backreef,2,NA20,1,0,0,12,0,88,25,na
2005,LTER_1,Backreef,2,NA20,2,52,0,32,0,16,25,na
2005,LTER_1,Backreef,2,NA20,3,4,0,0,0,96,25,na
2005,LTER_1,Backreef,2,NA20,4,32,16,24,0,28,25,na
2005,LTER_1,Backreef,2,NA20,5,4,0,52,0,44,25,na
