Year,Date,Start,End,Location,Site,Habitat,Depth,Transect,Swath,Taxonomy,Family,Count,Total_Length,Length_Anomaly,Biomass,Comment,Coarse_Trophic,Fine_Trophic,Cloud_Cover,Wind_Velocity,Sea_State,Swell,Visibility,Surge,Diver
2015,2015-08-02,8:55,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 1 m,LTER_0.5,Forereef,10,1,1,Canthigaster solandri,Tetraodontidae,1,40,0,1.86,NA,Primary Consumer,Omnivore,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 1 m,LTER_0.5,Forereef,10,1,1,Caracanthus maculatus,Scorpaenidae,3,20,0,0.48,NA,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 1 m,LTER_0.5,Forereef,10,1,1,Caracanthus maculatus,Scorpaenidae,27,25,0,8.49,NA,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 1 m,LTER_0.5,Forereef,10,1,1,Nemateleotris magnifica,Microdesmidae,1,25,0,0.07,NA,Planktivore,Planktivore_exclusively,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 1 m,LTER_0.5,Forereef,10,1,1,Nemateleotris magnifica,Microdesmidae,1,60,0,1.04,NA,Planktivore,Planktivore_exclusively,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 1 m,LTER_0.5,Forereef,10,1,1,Neocirrhites armatus,Cirrhitidae,1,25,0,0.19,NA,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 1 m,LTER_0.5,Forereef,10,1,1,Neocirrhites armatus,Cirrhitidae,9,30,0,3.03,NA,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 1 m,LTER_0.5,Forereef,10,1,1,Neocirrhites armatus,Cirrhitidae,10,35,0,5.58,NA,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 1 m,LTER_0.5,Forereef,10,1,1,Neocirrhites armatus,Cirrhitidae,2,40,0,1.73,NA,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 1 m,LTER_0.5,Forereef,10,1,1,Paracirrhites arcatus,Cirrhitidae,5,25,0,0.93,NA,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 1 m,LTER_0.5,Forereef,10,1,1,Paracirrhites arcatus,Cirrhitidae,4,35,0,2.23,NA,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 1 m,LTER_0.5,Forereef,10,1,1,Paracirrhites arcatus,Cirrhitidae,5,40,0,4.32,NA,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 1 m,LTER_0.5,Forereef,10,1,1,Paracirrhites arcatus,Cirrhitidae,4,50,0,7.16,NA,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 1 m,LTER_0.5,Forereef,10,1,1,Paracirrhites arcatus,Cirrhitidae,1,55,0,2.44,NA,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 1 m,LTER_0.5,Forereef,10,1,1,Paracirrhites arcatus,Cirrhitidae,2,60,0,6.49,NA,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 1 m,LTER_0.5,Forereef,10,1,1,Paracirrhites arcatus,Cirrhitidae,2,65,0,8.44,NA,Secondary Consumer,Benthic Invertebrate Consumer,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 1 m,LTER_0.5,Forereef,10,1,1,Paracirrhites forsteri,Cirrhitidae,1,45,0,1.27,NA,Piscivore_primarily,Piscivore,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 1 m,LTER_0.5,Forereef,10,1,1,Paracirrhites forsteri,Cirrhitidae,1,60,0,3.25,NA,Piscivore_primarily,Piscivore,85,1,0,0.25,30.6,0.5,GB
2015,2015-08-02,8:55,10:00,LTER 0.5 Forereef Fish Transect 1 Swath 1 m,LTER_0.5,Forereef,10,1,1,Plagiotremus tapeinosoma,Blenniidae,1,60,0,0.97,NA,Secondary Consumer,Fish Scale Consumer,85,1,0,0.25,30.6,0.5,GB
