Year,Site,Habitat,Genus,Dry_Weight,C,H,N,CN_ratio,Comment
2005,LTER_1,Backreef,Sargassum,2338,36.65,5.54,0.89,41.22,NA
2005,LTER_1,Backreef,Sargassum,2329,36.58,5.55,1.09,33.71,NA
2005,LTER_1,Backreef,Sargassum,2245,34.04,5.09,1.12,30.54,NA
2005,LTER_1,Backreef,Sargassum,2347,34.9,5.16,1,34.81,NA
2005,LTER_1,Backreef,Sargassum,2306,36.47,5.43,1.05,34.82,NA
2005,LTER_1,Backreef,Sargassum,2480,28.55,4.16,1,28.44,NA
2005,LTER_1,Backreef,Sargassum,2280,34.57,5.12,0.97,35.77,NA
2005,LTER_1,Backreef,Sargassum,2392,37.98,5.71,1.03,37.04,NA
2005,LTER_1,Backreef,Sargassum,2365,26.26,3.7,1.07,24.46,NA
2005,LTER_1,Backreef,Sargassum,2412,40.4,6.25,1.11,36.41,NA
2005,LTER_1,Fringing,Sargassum,2310,37.54,5.76,1.35,27.86,NA
2005,LTER_1,Fringing,Sargassum,2440,39.66,6.09,1.25,31.86,NA
2005,LTER_1,Fringing,Sargassum,2380,30.81,4.49,1.36,22.74,NA
2005,LTER_1,Fringing,Sargassum,2092,33.58,4.79,1.29,26.13,NA
2005,LTER_1,Fringing,Sargassum,2426,36.82,5.68,1.31,28.02,NA
2005,LTER_1,Fringing,Sargassum,2437,34.97,5.39,1.5,23.27,NA
2005,LTER_1,Fringing,Sargassum,2310,37.44,5.81,1.23,30.38,NA
2005,LTER_1,Fringing,Sargassum,2300,35.21,5.35,1.75,20.17,NA
2005,LTER_1,Fringing,Sargassum,2220,38.9,6.09,1.21,32.12,NA
2005,LTER_1,Reefcrest,Sargassum,2234,33.91,4.97,0.95,35.78,NA
2005,LTER_1,Reefcrest,Sargassum,2425,36.63,5.57,0.86,42.45,NA
2005,LTER_1,Reefcrest,Sargassum,2470,35.84,5.5,1.01,35.67,NA
2005,LTER_1,Reefcrest,Sargassum,2400,33.19,5.02,0.9,36.99,NA
2005,LTER_1,Reefcrest,Sargassum,2105,38.77,5.93,0.86,45.02,NA
2005,LTER_1,Reefcrest,Sargassum,2401,31.09,4.38,1.45,21.45,NA
2005,LTER_1,Reefcrest,Sargassum,2180,34.51,5.15,0.87,39.89,NA
