Date_french_format,Number,Stage,Site,Transect
5/10/22,410,Adult,S4,T1
5/10/22,411,Adult,S4,T1
5/10/22,412,Adult,S4,T1
5/10/22,413,Adult,S4,T1
5/10/22,414,Adult,S4,T1
5/10/22,415,Adult,S4,T1
5/10/22,416,Recruit,S4,T1
5/10/22,417,Recruit,S4,T1
5/10/22,418,Recruit,S4,T1
5/10/22,419,Recruit,S4,T1
5/10/22,420,Recruit,S4,T1
5/10/22,421,Recruit,S4,T1
5/10/22,422,Recruit,S4,T1
5/10/22,423,Recruit,S4,T1
5/10/22,424,Adult,S4,T1
5/10/22,425,Adult,S4,T1
5/10/22,426,Adult,S4,T1
5/10/22,427,Adult,S4,T1
5/10/22,428,Adult,S4,T1
5/10/22,429,Recruit,S4,T1
5/10/22,430_BIS,NA,S4,T1
5/10/22,430,Recruit,S4,T1
5/10/22,431,Recruit,S4,T1
5/10/22,432,Adult,S4,T1
5/10/22,433,Adult,S4,T1
5/10/22,434,Adult,S4,T1
5/10/22,435,Adult,S4,T1
5/10/22,436,Adult,S4,T1
5/10/22,437,Adult,S4,T1
5/10/22,438,Adult,S4,T1
5/10/22,439,Adult,S4,T1
5/10/22,440,Adult,S4,T1
5/10/22,441,Adult,S4,T1
5/10/22,442,Adult,S4,T1
5/10/22,443,Adult,S4,T1
5/10/22,448,Adult,S4,T1
5/10/22,450,Adult,S4,T1
5/10/22,444,Adult,S4,T2
5/10/22,445,Recruit,S4,T2
5/10/22,446,Adult,S4,T2
5/10/22,447,Adult,S4,T2
5/10/22,449,NA,S4,T2
5/10/22,451,Recruit,S4,T2
5/10/22,452,Recruit,S4,T2
5/10/22,453,Adult,S4,T2
5/10/22,454,Recruit,S4,T2
5/10/22,456,Adult,S4,T2
5/10/22,457,Adult,S4,T2
5/10/22,458,Adult,S4,T2
5/10/22,459,Recruit,S4,T2
5/10/22,460,Adult,S4,T2
5/10/22,461,Adult,S4,T2
5/10/22,462,Recruit,S4,T2
5/10/22,463,Adult,S4,T2
5/10/22,464,Adult,S4,T2
5/10/22,465,Adult,S4,T2
5/10/22,466,Adult,S4,T2
5/10/22,467,Adult,S4,T2
5/10/22,468,Adult,S4,T2
5/10/22,469,Recruit,S4,T2
5/10/22,470,Recruit,S4,T2
5/10/22,471,Adult,S4,T2
5/10/22,490,Adult,S4,T2
5/10/22,419,Adult,S4,T3
5/10/22,455,Adult,S4,T3
5/10/22,472,Adult,S4,T3
5/10/22,473,Adult,S4,T3
5/10/22,474,Adult,S4,T3
5/10/22,475,Adult,S4,T3
5/10/22,476,Adult,S4,T3
5/10/22,477,Adult,S4,T3
5/10/22,478,Adult,S4,T3
5/10/22,479,Adult,S4,T3
5/10/22,480,Adult,S4,T3
5/10/22,481,Adult,S4,T3
5/10/22,482,Adult,S4,T3
5/10/22,483,Adult,S4,T3
5/10/22,484,Adult,S4,T3
5/10/22,485,Adult,S4,T3
5/10/22,486,Adult,S4,T3
5/10/22,487,Adult,S4,T3
5/10/22,488,Adult,S4,T3
5/10/22,489,Adult,S4,T3
5/10/22,507,Recruit,S4,T3
5/10/22,509,Adult,S4,T3
5/10/22,510,Recruit,S4,T3
5/10/22,518,NA,S4,T3
5/10/22,515,Adult,S4,T3
5/10/22,519,Recruit,S4,T3
5/10/22,528,Recruit,S4,T3
5/10/22,529,Adult,S4,T3
5/10/22,619,NA,S4,T3
5/10/22,539,Recruit,S4,T3
5/10/22,620,Recruit,S4,T3
6/10/22,491,Recruit,S4,T4
6/10/22,492,Recruit,S4,T4
6/10/22,494,Recruit,S4,T4
6/10/22,495,Recruit,S4,T4
6/10/22,496,Recruit,S4,T4
6/10/22,497,Recruit,S4,T4
6/10/22,498,Recruit,S4,T4
6/10/22,499,Recruit,S4,T4
6/10/22,500,Recruit,S4,T4
6/10/22,501,Recruit,S4,T4
6/10/22,502,Recruit,S4,T4
6/10/22,503,Recruit,S4,T4
6/10/22,504,Recruit,S4,T4
6/10/22,506,Recruit,S4,T4
6/10/22,508,Adult,S4,T4
6/10/22,514,Adult,S4,T4
6/10/22,516,Recruit,S4,T4
6/10/22,517,Recruit,S4,T4
6/10/22,558,Recruit,S4,T4
6/10/22,593,Recruit,S4,T4
6/10/22,493,Recruit,S4,T5
6/10/22,505,Adult,S4,T5
6/10/22,511,Recruit,S4,T5
6/10/22,512,Recruit,S4,T5
6/10/22,513,Adult,S4,T5
6/10/22,530,Recruit,S4,T5
6/10/22,531,Recruit,S4,T5
