Date_french_format,Number,Stage,Timing,Site,Transect,ID,Replicate,Data,Backup,Quantity_DNA._RNA._shield_Data.ml.,Quantity_DNA._RNA._shield_backup.ml.,Box_name_Data,Box_name_backup,Freezer_US_tubes,Freezer_backup_moorea,Wirlpak,Picture,Picture_name,Recruit_size_cm2,Red_standard,Green_standard,Blue_standard,Red_coral,Green_coral,Blue_coral,Scleractinian.corals,Macroalgae,Crustose.coralline.algae,Algal.turf,Millepora,Sand,dalle_coralienne,Others,Note1,gDNA.Extraction.Date,gDNA.Extraction.Plate,Plate.Well,Priority,Haplotype ,Note2,Extraction.Notebook.Link
20/02/2023,1239,Recruit,Pre_bleach,S1,T1,POC_ID,2,1,1,0.5,0.5,Site_1,Site_1_backup,_20__C,_40_up,YES,YES,1239_S1_T1,1.421,NA,,NA,NA,NA,NA,0,1,0,0,0,0,0,0,,,Plate002,B8,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
20/02/2023,1240,Adult,Pre_bleach,S1,T1,POC_ID,2,1,1,0.5,0.5,Site_1,Site_1_backup,_20__C,_40_up,YES,YES,1240_S1_T1,NA,NA,,NA,NA,NA,NA,0,0,0,0,0,0,0,0,,,Plate002,D2,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
20/02/2023,1241,Adult,Pre_bleach,S1,T1,POC_ID,2,1,1,0.5,0.5,Site_1,Site_1_backup,_20__C,_40_up,YES,YES,1241_S1_T1,NA,NA,,NA,NA,NA,NA,0,0,0,0,0,0,0,0,,,Plate002,C7,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
20/02/2023,1242,Adult,Pre_bleach,S1,T1,POC_ID,2,1,1,0.5,0.5,Site_1,Site_1_backup,_20__C,_40_up,YES,YES,1242_S1_T1,NA,NA,,NA,NA,NA,NA,0,0,0,0,0,0,0,0,,,Plate002,C6,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
20/02/2023,1243,Recruit,Pre_bleach,S1,T1,POC_ID,2,1,1,0.5,0.5,Site_1,Site_1_backup,_20__C,_40_up,NO,YES,1243_S1_T1,0.868,NA,,NA,NA,NA,NA,0,0,0,1,0,0,0,0,,,Plate002,B10,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
20/02/2023,1244,Adult,Pre_bleach,S1,T1,POC_ID,2,1,1,0.5,0.5,Site_1,Site_1_backup,_20__C,_40_up,YES,YES,1244_S1_T1,NA,NA,,NA,NA,NA,NA,0,0,0,0,0,0,0,0,,,Plate002,A12,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
20/02/2023,1245,Adult,Pre_bleach,S1,T1,POC_ID,2,1,1,0.5,0.5,Site_1,Site_1_backup,_20__C,_40_up,YES,YES,1245_S1_T1,NA,NA,,NA,NA,NA,NA,0,0,0,0,0,0,0,0,,,Plate002,H1,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
20/02/2023,1246,Adult,Pre_bleach,S1,T1,POC_ID,2,1,1,0.5,0.5,Site_1,Site_1_backup,_20__C,_40_up,YES,YES,1246_S1_T1,NA,NA,,NA,NA,NA,NA,0,0,0,0,0,0,0,0,,,Plate002,D4,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
20/02/2023,1247,Recruit,Pre_bleach,S1,T1,POC_ID,1,1,0,0.5,NA,Site_1,NA,_20__C,NA,NO,YES,1247_S1_T1,0.619,NA,,NA,NA,NA,NA,0,1,0,0,0,0,0,0,,,Plate002,G12,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
20/02/2023,1248,Adult,Pre_bleach,S1,T1,POC_ID,2,1,1,0.5,0.5,Site_1,Site_1_backup,_20__C,_40_up,YES,YES,1248_S1_T1,NA,NA,,NA,NA,NA,NA,0,0,0,0,0,0,0,0,,,Plate002,B1,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
20/02/2023,1249,Adult,Pre_bleach,S1,T1,POC_ID,2,1,1,0.5,0.5,Site_1,Site_1_backup,_20__C,_40_up,YES,YES,1249_S1_T1,NA,NA,,NA,NA,NA,NA,0,0,0,0,0,0,0,0,,,Plate002,E9,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
20/02/2023,1250,Recruit,Pre_bleach,S1,T1,POC_ID,2,1,1,0.5,0.5,Site_1,Site_1_backup,_20__C,_40_up,NO,YES,1250_S1_T1,0.608,NA,,NA,NA,NA,NA,1,0,0,0,0,0,0,0,,,Plate002,F7,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
20/02/2023,1251,Recruit,Pre_bleach,S1,T1,POC_ID,2,1,1,0.5,0.5,Site_1,Site_1_backup,_20__C,_40_up,NO,YES,1251_S1_T1,1.346,NA,,NA,NA,NA,NA,1,0,0,1,0,0,0,0,,,Plate002,E1,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
20/02/2023,1252,Adult,Pre_bleach,S1,T1,POC_ID,2,1,1,1,0.5,Site_1,Site_1_backup,_20__C,_40_up,YES,YES,1252_S1_T1,NA,NA,,NA,NA,NA,NA,0,0,0,0,0,0,0,0,,,Plate002,B9,,,,https://hputnam.github.io/Putnam_Lab_Notebook/PocID_COTS_RAPID_Plate002_003/
