Date_french_format,Number,Site,Transect,SEM_sample,Bag_name,Localisation,SEM_sample_backup,Box_name_backup,Localisation_backup,Bulk_density,Localisation_Bulk_density,Comment
5/10/22,410,S4,T1,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,411,S4,T1,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,412,S4,T1,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,413,S4,T1,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,414,S4,T1,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,415,S4,T1,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,416,S4,T1,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,417,S4,T1,YES,NA,IS,YES,Site4_backup_data,Moorea,NA,NA,
5/10/22,418,S4,T1,NA,NA,NA,NA,NA,NA,NA,NA,
5/10/22,419,S4,T1,YES,NA,IS,NA,NA,NA,NA,NA,
5/10/22,420,S4,T1,NA,NA,NA,NA,NA,NA,NA,NA,
5/10/22,421,S4,T1,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,422,S4,T1,NA,NA,NA,NA,NA,NA,NA,NA,
5/10/22,423,S4,T1,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,424,S4,T1,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,425,S4,T1,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,426,S4,T1,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,427,S4,T1,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,428,S4,T1,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,429,S4,T1,YES,NA,IS,YES,Site4_backup_data,Moorea,NA,NA,
5/10/22,430_BIS,S4,T1,NA,NA,NA,NA,NA,NA,NA,NA,
5/10/22,430,S4,T1,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,431,S4,T1,NA,NA,NA,NA,NA,NA,NA,NA,
5/10/22,432,S4,T1,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,433,S4,T1,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,434,S4,T1,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,435,S4,T1,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,436,S4,T1,NA,NA,NA,NA,NA,NA,NA,NA,
5/10/22,437,S4,T1,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,438,S4,T1,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,439,S4,T1,NA,NA,NA,NA,NA,NA,NA,NA,
5/10/22,440,S4,T1,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,441,S4,T1,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,442,S4,T1,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,443,S4,T1,NA,NA,NA,NA,NA,NA,NA,NA,
5/10/22,448,S4,T1,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,450,S4,T1,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,444,S4,T2,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,445,S4,T2,NA,NA,NA,NA,NA,NA,NA,NA,
5/10/22,446,S4,T2,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,447,S4,T2,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,449,S4,T2,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,451,S4,T2,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,452,S4,T2,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,453,S4,T2,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,454,S4,T2,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,456,S4,T2,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,457,S4,T2,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,458,S4,T2,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,459,S4,T2,NA,NA,NA,NA,NA,NA,NA,NA,
5/10/22,460,S4,T2,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,461,S4,T2,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,462,S4,T2,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,463,S4,T2,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,464,S4,T2,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,465,S4,T2,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,466,S4,T2,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,467,S4,T2,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,468,S4,T2,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,469,S4,T2,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,470,S4,T2,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,471,S4,T2,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,490,S4,T2,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,419,S4,T3,NA,NA,NA,NA,NA,NA,NA,NA,
5/10/22,455,S4,T3,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,472,S4,T3,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,473,S4,T3,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,474,S4,T3,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,475,S4,T3,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,476,S4,T3,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,477,S4,T3,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,478,S4,T3,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,479,S4,T3,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,480,S4,T3,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,481,S4,T3,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,482,S4,T3,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,483,S4,T3,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,484,S4,T3,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,485,S4,T3,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,486,S4,T3,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,487,S4,T3,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,488,S4,T3,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,489,S4,T3,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,507,S4,T3,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,509,S4,T3,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,510,S4,T3,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,518,S4,T3,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,515,S4,T3,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,519,S4,T3,YES,NA,IS,YES,Site4_backup_data,Moorea,NA,NA,
5/10/22,528,S4,T3,NA,NA,NA,NA,NA,NA,NA,NA,
5/10/22,529,S4,T3,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,619,S4,T3,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
5/10/22,539,S4,T3,NA,NA,NA,NA,NA,NA,NA,NA,
5/10/22,620,S4,T3,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,491,S4,T4,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,492,S4,T4,NA,NA,NA,NA,NA,NA,NA,NA,
6/10/22,494,S4,T4,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,495,S4,T4,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,496,S4,T4,YES,NA,IS,YES,Site4_backup_data,Moorea,NA,NA,
6/10/22,497,S4,T4,NA,NA,NA,NA,NA,NA,NA,NA,
6/10/22,498,S4,T4,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,499,S4,T4,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,500,S4,T4,NA,NA,NA,NA,NA,NA,NA,NA,
6/10/22,501,S4,T4,YES,NA,IS,YES,Site4_backup_data,Moorea,NA,NA,
6/10/22,502,S4,T4,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,503,S4,T4,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,504,S4,T4,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,506,S4,T4,NA,NA,NA,NA,NA,NA,NA,NA,
6/10/22,508,S4,T4,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,514,S4,T4,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,516,S4,T4,YES,NA,IS,YES,Site4_backup_data,Moorea,NA,NA,
6/10/22,517,S4,T4,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,558,S4,T4,YES,NA,IS,YES,Site4_backup_data,Moorea,NA,NA,
6/10/22,593,S4,T4,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,493,S4,T5,NA,NA,NA,NA,NA,NA,NA,NA,
6/10/22,505,S4,T5,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,511,S4,T5,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,512,S4,T5,YES,NA,IS,YES,Site4_backup_data,Moorea,NA,NA,
6/10/22,513,S4,T5,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,530,S4,T5,NA,NA,NA,NA,NA,NA,NA,NA,
6/10/22,531,S4,T5,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,532,S4,T5,NA,NA,NA,NA,NA,NA,NA,NA,
6/10/22,553,S4,T5,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,555,S4,T5,YES,NA,IS,YES,Site4_backup_data,Moorea,NA,NA,
6/10/22,585,S4,T5,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,586,S4,T5,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,587,S4,T5,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,588,S4,T5,NA,NA,NA,NA,NA,NA,NA,NA,
6/10/22,589,S4,T5,NA,NA,NA,NA,NA,NA,NA,NA,
6/10/22,590,S4,T5,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,591,S4,T5,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,594,S4,T5,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,626,S4,T5,NA,NA,NA,NA,NA,NA,NA,NA,
6/10/22,627,S4,T5,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,628,S4,T5,NA,NA,NA,NA,NA,NA,NA,Moorea,
6/10/22,629,S4,T5,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,630,S4,T5,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,631,S4,T5,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,632,S4,T5,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,633,S4,T5,NA,NA,NA,NA,NA,NA,NA,NA,
6/10/22,634,S4,T5,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,635,S4,T5,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,636,S4,T5,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,637,S4,T5,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,638,S4,T5,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,639,S4,T5,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,640,S4,T5,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,641,S4,T5,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,642,S4,T5,YES,NA,IS,NA,NA,NA,NA,NA,
6/10/22,643,S4,T5,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,644,S4,T5,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,645,S4,T5,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,646,S4,T5,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,647,S4,T5,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,648,S4,T5,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,649,S4,T5,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,650,S4,T5,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,533,S4,T6,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,527,S4,T6,NA,NA,NA,NA,NA,NA,NA,NA,
6/10/22,528,S4,T6,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,534,S4,T6,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,535,S4,T6,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,536,S4,T6,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,537,S4,T6,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,538,S4,T6,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,540,S4,T6,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,541,S4,T6,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,542,S4,T6,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,543,S4,T6,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,545,S4,T6,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,546,S4,T6,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,548,S4,T6,NA,NA,NA,NA,NA,NA,NA,NA,
6/10/22,549,S4,T6,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,550,S4,T6,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,551,S4,T6,YES,NA,IS,YES,Site4_backup_data,Moorea,NA,NA,
6/10/22,552,S4,T6,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,554,S4,T6,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,556,S4,T6,NA,NA,NA,NA,NA,NA,NA,NA,
6/10/22,557,S4,T6,YES,NA,IS,NA,NA,NA,NA,NA,
6/10/22,562,S4,T6,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,573,S4,T6,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,575,S4,T6,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,592,S4,T6,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,595,S4,T6,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,596,S4,T6,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,597,S4,T6,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,598,S4,T6,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,599,S4,T6,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,600,S4,T6,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,601,S4,T6,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,602,S4,T6,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,603,S4,T6,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,604,S4,T6,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,605,S4,T6,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,606,S4,T6,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,607,S4,T6,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,608,S4,T6,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,609,S4,T6,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,610,S4,T6,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,611,S4,T6,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,612,S4,T6,YES,NA,IS,YES,Site4_backup_data,Moorea,`NA,NA,
6/10/22,613,S4,T6,NA,NA,NA,NA,NA,NA,NA,NA,
6/10/22,614,S4,T6,NA,NA,NA,NA,NA,NA,NA,NA,
6/10/22,615,S4,T6,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,616,S4,T6,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,617,S4,T6,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,618,S4,T6,YES,NA,IS,YES,Site4_backup_data,Moorea,NA,NA,
6/10/22,652,S4,T6,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,675,S4,T6,YES,NA,IS,YES,Site4_backup_data,Moorea,YES,Moorea,
6/10/22,698,S4,T6,NA,NA,NA,NA,NA,NA,NA,NA,
4/2/23,653,S3,T1,YES,Site3_data,Moorea,YES,Site3_backup_data,Moorea,YES,Moorea,
4/2/23,658,S3,T1,NA,NA,NA,NA,NA,NA,NA,NA,
4/2/23,659,S3,T1,YES,Site3_data,Moorea,YES,Site3_backup_data,Moorea,YES,Moorea,
4/2/23,660,S3,T1,NA,NA,NA,NA,NA,NA,NA,NA,
4/2/23,661,S3,T1,YES,Site3_data,Moorea,YES,Site3_backup_data,Moorea,YES,Moorea,
4/2/23,662,S3,T1,YES,Site3_data,Moorea,YES,Site3_backup_data,Moorea,YES,Moorea,
4/2/23,663,S3,T1,YES,Site3_data,Moorea,YES,Site3_backup_data,Moorea,YES,Moorea,
4/2/23,664,S3,T1,YES,Site3_data,Moorea,YES,Site3_backup_data,Moorea,YES,Moorea,
4/2/23,665,S3,T1,NA,NA,NA,NA,NA,NA,NA,NA,
4/2/23,666,S3,T1,YES,Site3_data,Moorea,NA,NA,NA,NA,NA,
4/2/23,667,S3,T1,YES,Site3_data,Moorea,NA,NA,NA,NA,NA,
4/2/23,668,S3,T1,NA,NA,NA,NA,NA,NA,NA,NA,
4/2/23,669,S3,T1,YES,Site3_data,Moorea,YES,Site3_backup_data,Moorea,YES,Moorea,
4/2/23,670,S3,T1,NA,NA,NA,NA,NA,NA,NA,NA,
4/2/23,671,S3,T1,YES,Site3_data,Moorea,YES,Site3_backup_data,Moorea,YES,Moorea,
4/2/23,672,S3,T1,YES,Site3_data,Moorea,YES,Site3_backup_data,Moorea,YES,Moorea,
4/2/23,676,S3,T1,YES,Site3_data,Moorea,YES,Site3_backup_data,Moorea,YES,Moorea,
4/2/23,677,S3,T1,YES,Site3_data,Moorea,NA,NA,NA,NA,NA,
4/2/23,678,S3,T1,NA,NA,NA,NA,NA,NA,NA,NA,
4/2/23,679,S3,T1,YES,Site3_data,Moorea,YES,Site3_backup_data,Moorea,YES,Moorea,
4/2/23,680,S3,T1,YES,Site3_data,Moorea,YES,Site3_backup_data,Moorea,NA,NA,
4/2/23,681,S3,T1,YES,Site3_data,Moorea,YES,Site3_backup_data,Moorea,YES,Moorea,
4/2/23,682,S3,T1,YES,Site3_data,Moorea,YES,Site3_backup_data,Moorea,YES,Moorea,
4/2/23,683,S3,T1,NA,NA,NA,NA,NA,NA,NA,NA,
4/2/23,684,S3,T1,YES,Site3_data,Moorea,YES,Site3_backup_data,Moorea,YES,Moorea,
4/2/23,685,S3,T1,YES,Site3_data,Moorea,YES,Site3_backup_data,Moorea,YES,Moorea,
4/2/23,686,S3,T1,YES,Site3_data,Moorea,YES,Site3_backup_data,Moorea,NA,NA,
4/2/23,687,S3,T1,YES,Site3_data,Moorea,YES,Site3_backup_data,Moorea,YES,Moorea,
4/2/23,688,S3,T1,YES,Site3_data,Moorea,YES,Site3_backup_data,Moorea,YES,Moorea,
4/2/23,689,S3,T1,YES,Site3_data,Moorea,YES,Site3_backup_data,Moorea,YES,Moorea,
4/2/23,702,S3,T1,NA,NA,NA,NA,NA,NA,NA,NA,
4/2/23,703,S3,T1,YES,Site3_data,Moorea,YES,Site3_backup_data,Moorea,YES,Moorea,
4/2/23,721,S3,T1,YES,Site3_data,Moorea,NA,NA,NA,NA,NA,
4/2/23,722,S3,T1,YES,Site3_data,Moorea,YES,Site3_backup_data,Moorea,YES,Moorea,
4/2/23,723,S3,T1,YES,Site3_data,Moorea,NA,NA,NA,NA,NA,
4/2/23,724,S3,T1,YES,Site3_data,Moorea,YES,Site3_backup_data,Moorea,YES,Moorea,
4/2/23,725,S3,T1,YES,Site3_data,Moorea,YES,Site3_backup_data,Moorea,YES,Moorea,
4/2/23,726,S3,T1,YES,Site3_data,Moorea,YES,Site3_backup_data,Moorea,YES,Moorea,
4/2/23,727,S3,T1,YES,Site3_data,Moorea,YES,Site3_backup_data,Moorea,YES,Moorea,
4/2/23,728,S3,T1,YES,Site3_data,Moorea,YES,Site3_backup_data,Moorea,NA,NA,
4/2/23,738,S3,T1,NA,NA,NA,NA,NA,NA,NA,NA,
4/2/23,690,S3,T2,YES,Site3_data,Moorea,YES,Site3_backup_data,Moorea,YES,Moorea,
4/2/23,696,S3,T2,YES,Site3_data,Moorea,YES,Site3_backup_data,Moorea,YES,Moorea,
4/2/23,700,S3,T2,YES,Site3_data,Moorea,YES,Site3_backup_data,Moorea,YES,Moorea,
4/2/23,701,S3,T2,YES,Site3_data,Moorea,YES,Site3_backup_data,Moorea,YES,Moorea,
4/2/23,705,S3,T2,YES,Site3_data,Moorea,YES,Site3_backup_data,Moorea,YES,Moorea,
4/2/23,706,S3,T2,NA,NA,NA,NA,NA,NA,NA,NA,
4/2/23,707,S3,T2,YES,Site3_data,Moorea,NA,NA,NA,NA,NA,
4/2/23,708,S3,T2,YES,Site3_data,Moorea,YES,Site3_backup_data,Moorea,YES,Moorea,
4/2/23,709,S3,T2,YES,Site3_data,Moorea,YES,Site3_backup_data,Moorea,NA,NA,
4/2/23,712,S3,T2,YES,Site3_data,Moorea,YES,Site3_backup_data,Moorea,YES,Moorea,
4/2/23,716,S3,T2,YES,Site3_data,Moorea,YES,Site3_backup_data,Moorea,YES,Moorea,
4/2/23,731,S3,T2,YES,Site3_data,Moorea,YES,Site3_backup_data,Moorea,YES,Moorea,
4/2/23,734,S3,T2,YES,Site3_data,Moorea,YES,Site3_backup_data,Moorea,YES,Moorea,
4/2/23,735,S3,T2,YES,Site3_data,Moorea,YES,Site3_backup_data,Moorea,YES,Moorea,
4/2/23,736,S3,T2,YES,Site3_data,Moorea,YES,Site3_backup_data,Moorea,YES,Moorea,
4/2/23,737,S3,T2,YES,Site3_data,Moorea,YES,Site3_backup_data,Moorea,YES,Moorea,
4/2/23,691,S3,T3,YES,Site3_data,Moorea,YES,Site3_backup_data,Moorea,YES,Moorea,
4/2/23,692,S3,T3,NA,NA,NA,NA,NA,NA,NA,NA,
4/2/23,693,S3,T3,YES,Site3_data,Moorea,YES,Site3_backup_data,Moorea,YES,Moorea,
4/2/23,694,S3,T3,YES,Site3_data,Moorea,YES,Site3_backup_data,Moorea,YES,Moorea,
4/2/23,695,S3,T3,YES,Site3_data,Moorea,YES,Site3_backup_data,Moorea,YES,Moorea,
4/2/23,697,S3,T3,YES,Site3_data,Moorea,YES,Site3_backup_data,Moorea,YES,Moorea,
