Plate.Well,gDNA.Extraction.Plate,Sample.ID
F5,Plate031,430
F11,Plate031,432
F8,Plate031,437
G10,Plate013,588
G7,Plate013,593
G5,Plate013,612
G2,Plate013,626
E6,Plate005,707
F11,Plate037,780
G8,Plate037,793
F2,Plate037,813
F8,Plate037,922
F5,Plate037,924
H6,Plate036,932
G7,Plate036,939
F8,Plate036,942
F9,Plate006,971
F6,Plate036,1058
C11,Plate008,1112
F5,Plate036,1121
F11,Plate036,1148
G3,Plate036,1159
G9,Plate006,1172
D10,Plate002,1231
G9,Plate002,1232
F12,Plate002,1233
C3,Plate002,1234
C12,Plate002,1235
E6,Plate002,1236
F3,Plate002,1237
D9,Plate002,1238
B8,Plate002,1239
D2,Plate002,1240
C7,Plate002,1241
C6,Plate002,1242
B10,Plate002,1243
H1,Plate002,1245
D4,Plate002,1246
G12,Plate002,1247
B1,Plate002,1248
E9,Plate002,1249
F7,Plate002,1250
E1,Plate002,1251
B9,Plate002,1252
D12,Plate002,1253
E10,Plate002,1254
G3,Plate002,1255
D3,Plate002,1256
C5,Plate002,1257
A11,Plate002,1258
G4,Plate002,1259
F6,Plate002,1260
F2,Plate036,1264
G7,Plate002,1268
C9,Plate002,1269
B3,Plate002,1270
A10,Plate002,1271
G2,Plate002,1272
C4,Plate002,1273
A6,Plate002,1274
F10,Plate002,1276
D6,Plate002,1277
B7,Plate002,1278
E8,Plate002,1279
D1,Plate002,1280
A8,Plate002,1281
G10,Plate002,1282
C2,Plate002,1283
D11,Plate002,1284
D7,Plate002,1285
G1,Plate002,1286
B4,Plate002,1287
F11,Plate002,1288
D8,Plate002,1289
F2,Plate002,1290
G8,Plate002,1291
E5,Plate002,1292
C11,Plate002,1293
C1,Plate002,1304
C10,Plate002,1305
E7,Plate002,1306
F4,Plate002,1307
B5,Plate002,1308
E4,Plate002,1309
F1,Plate002,1310
E3,Plate002,1311
B6,Plate002,1312
G11,Plate002,1313
A7,Plate002,1314
F5,Plate002,1315
A9,Plate002,1347
F8,Plate034,1350
G5,Plate002,1351
E12,Plate002,1362
F2,Plate035,1363
B2,Plate002,1364
B11,Plate002,1370
F9,Plate002,1371
A5,Plate002,1373
C8,Plate002,1377
G6,Plate002,1382
G11,Plate016,1395
A8,Plate019,1441
F5,Plate035,1482
F8,Plate035,1484
F11,Plate035,1494
H4,Plate002,1513
H10,Plate002,1516
H2,Plate002,1517
H7,Plate002,1519
D5,Plate002,1538
H6,Plate002,1541
F8,Plate002,1544
H5,Plate002,1552
D10,Plate034,1554
H11,Plate002,1558
E11,Plate002,1559
H12,Plate002,1560
F2,Plate034,1578
