Date;Picture_used;Set_scale_cm;cm_measure;mm_measure
20012023;1581_S2_T2;1;0.993;0.115
20012023;1581_S2_T2;1;0.981;0.106
20012023;1581_S2_T2;1;1.008;0.121
20012023;1581_S2_T2;1;1.002;0.099
20012023;1581_S2_T2;1;0.990;0.102
20012023;1581_S2_T2;1;1.000;0.107
20012023;1581_S2_T2;1;1.004;0.124
20012023;1581_S2_T2;1;0.997;0.095
20012023;1581_S2_T2;1;0.997;0.108
20012023;1581_S2_T2;1;1.007;0.113
20012023;1581_S2_T2;1;1.000;0.112
20012023;1581_S2_T2;1;1.019;0.119
20012023;1581_S2_T2;1;1.003;0.099
20012023;1581_S2_T2;1;1.013;0.104
20012023;1581_S2_T2;1;1.004;0.096
20012023;1581_S2_T2;1;1.007;0.129
20012023;1581_S2_T2;1;1.005;0.106
20012023;1581_S2_T2;1;0.998;0.106
20012023;1581_S2_T2;1;1.002;0.109
20012023;1581_S2_T2;1;1;0.108
20012023;1581_S2_T2;1;1.006;0.115
20012023;1581_S2_T2;1;1.020;0.096
20012023;1581_S2_T2;1;0.983;0.114
20012023;1581_S2_T2;1;1.011;0.115
20012023;1581_S2_T2;1;0.983;0.115
20012023;1581_S2_T2;1;0.999;0.118
20012023;1581_S2_T2;1;0.992;0.125
20012023;1581_S2_T2;1;1.004;0.104
20012023;1581_S2_T2;1;1.008;0.119
20012023;1581_S2_T2;1;1.001;0.106
20012023;1581_S2_T2;1;0.991;0.121
20012023;1581_S2_T2;1;0.994;0.119
20012023;1581_S2_T2;1;0.992;0.106
20012023;1581_S2_T2;1;0.988;0.094
20012023;1581_S2_T2;1;1.002;0.118
20012023;1581_S2_T2;1;1.003;0.100
20012023;1581_S2_T2;1;1.000;0.107
20012023;1581_S2_T2;1;0.995;0.106
20012023;1581_S2_T2;1;1.001;0.104
20012023;1581_S2_T2;1;1.013;0.096
20012023;1581_S2_T2;1;0.989;0.107
20012023;1581_S2_T2;1;1.001;0.115
20012023;1581_S2_T2;1;0.995;0.106
20012023;1581_S2_T2;1;0.992;0.110
20012023;1581_S2_T2;1;1.009;0.104
20012023;1581_S2_T2;1;1.002;0.109
20012023;1581_S2_T2;1;1.009;0.109
20012023;1581_S2_T2;1;1.005;0.104
20012023;1581_S2_T2;1;0.996;0.106
20012023;1581_S2_T2;1;0.985;0.107
