"","Sample.ID","Site","Transect","Species","Average.Diameter.cm","LifeStage"
"1",410,"S4","T1","P. grandis",6.66233333333333,">5cm-14cm"
"2",411,"S4","T1","P. meandrina",9.55,">5cm-14cm"
"3",412,"S4","T1","P. meandrina",5.42066666666667,">5cm-14cm"
"4",413,"S4","T1","P. grandis",23.9546666666667,">14cm"
"5",414,"S4","T1","P. verrucosa",10.2506666666667,">5cm-14cm"
"6",415,"S4","T1","P. verrucosa",5.62533333333333,">5cm-14cm"
"7",416,"S4","T1","P. effusa",1.962,"0-2cm"
"8",417,"S4","T1","P. effusa",1.075,"0-2cm"
"9",418,"S4","T1","P. meandrina",1.00633333333333,"0-2cm"
"10",418,"S4","T1","P. meandrina",1.00633333333333,"0-2cm"
"11",419,"S4","T1","P. effusa",1.17266666666667,"0-2cm"
"12",419,"S4","T1","P. effusa",22.531,">14cm"
"13",419,"S4","T3","P. effusa",1.17266666666667,"0-2cm"
"14",419,"S4","T3","P. effusa",22.531,">14cm"
"15",419,"S4","T1","P. effusa",1.17266666666667,"0-2cm"
"16",419,"S4","T1","P. effusa",22.531,">14cm"
"17",419,"S4","T3","P. effusa",1.17266666666667,"0-2cm"
"18",419,"S4","T3","P. effusa",22.531,">14cm"
"19",420,"S4","T1","P. effusa",1.314,"0-2cm"
"20",421,"S4","T1","P. tuahiniensis",1.56833333333333,"0-2cm"
"21",422,"S4","T1","P. meandrina",3.7,">2cm-5cm"
"22",422,"S4","T1","P. grandis",3.7,">2cm-5cm"
"23",423,"S4","T1","P. effusa",1.82,"0-2cm"
"24",424,"S4","T1","P. meandrina",7.355,">5cm-14cm"
"25",425,"S4","T1","P. meandrina",4.462,">2cm-5cm"
"26",426,"S4","T1","P. meandrina",9.19366666666667,">5cm-14cm"
"27",426,"S4","T1","P. meandrina",9.19366666666667,">5cm-14cm"
"28",427,"S4","T1","P. meandrina",8.91533333333333,">5cm-14cm"
"29",427,"S4","T1","P. meandrina",8.91533333333333,">5cm-14cm"
"30",428,"S4","T1","P. tuahiniensis",22.098,">14cm"
"31",428,"S4","T1","P. tuahiniensis",22.098,">14cm"
"32",429,"S4","T1","P. meandrina",1.627,"0-2cm"
"33",429,"S4","T1","P. effusa",1.627,"0-2cm"
"34",430,"S4","T1","P. effusa",3.04,">2cm-5cm"
"35",430,"S4","T1","P. tuahiniensis",3.04,">2cm-5cm"
"36",431,"S4","T1","P. meandrina",0.991,"0-2cm"
"37",432,"S4","T1","P. meandrina",7.92233333333333,">5cm-14cm"
"38",433,"S4","T1","P. meandrina",4.347,">2cm-5cm"
"39",433,"S4","T1","P. meandrina",4.347,">2cm-5cm"
"40",434,"S4","T1","P. meandrina",4.35033333333333,">2cm-5cm"
"41",434,"S4","T1","P. meandrina",4.35033333333333,">2cm-5cm"
"42",436,"S4","T1","P. tuahiniensis",14.0833333333333,">14cm"
"43",438,"S4","T1","P. verrucosa",11.603,">5cm-14cm"
"44",439,"S4","T1","P. meandrina",9.17,">5cm-14cm"
"45",439,"S4","T1","P. meandrina",9.17,">5cm-14cm"
"46",440,"S4","T1","P. meandrina",10.4336666666667,">5cm-14cm"
"47",441,"S4","T1","P. meandrina",11.0806666666667,">5cm-14cm"
"48",441,"S4","T1","P. meandrina",11.0806666666667,">5cm-14cm"
"49",442,"S4","T1","P. meandrina",4.54733333333333,">2cm-5cm"
"50",442,"S4","T1","P. meandrina",4.54733333333333,">2cm-5cm"
"51",443,"S4","T1","P. meandrina",23.4233333333333,">14cm"
"52",444,"S4","T2","P. tuahiniensis",10.8013333333333,">5cm-14cm"
"53",444,"S4","T2","P. tuahiniensis",10.8013333333333,">5cm-14cm"
"54",445,"S4","T2","P. meandrina",0.698666666666667,"0-2cm"
"55",446,"S4","T2","P. verrucosa",27.0933333333333,">14cm"
"56",446,"S4","T2","P. verrucosa",27.0933333333333,">14cm"
"57",447,"S4","T2","P. meandrina",3.963,">2cm-5cm"
"58",448,"S4","T1","P. meandrina",7.81366666666667,">5cm-14cm"
"59",448,"S4","T1","P. meandrina",7.81366666666667,">5cm-14cm"
"60",451,"S4","T2","P. meandrina",2.08833333333333,">2cm-5cm"
"61",451,"S4","T2","P. meandrina",2.08833333333333,">2cm-5cm"
"62",452,"S4","T2","P. meandrina",2.946,">2cm-5cm"
"63",453,"S4","T2","P. tuahiniensis",2.90566666666667,">2cm-5cm"
"64",454,"S4","T2","P. acuta",1.906,"0-2cm"
"65",455,"S4","T3","P. meandrina",100,">14cm"
"66",456,"S4","T2","P. grandis",5.87966666666667,">5cm-14cm"
"67",456,"S4","T2","P. grandis",5.87966666666667,">5cm-14cm"
"68",458,"S4","T2","P. meandrina",9.50233333333333,">5cm-14cm"
"69",459,"S4","T2","P. meandrina",0.777,"0-2cm"
"70",461,"S4","T2","P. meandrina",11.2303333333333,">5cm-14cm"
"71",463,"S4","T2","P. verrucosa",40.399,">14cm"
"72",464,"S4","T2","P. tuahiniensis",27.4166666666667,">14cm"
"73",469,"S4","T2","P. meandrina",1.58466666666667,"0-2cm"
"74",470,"S4","T2","P. effusa",1.56766666666667,"0-2cm"
"75",472,"S4","T3","P. tuahiniensis",100,">14cm"
"76",473,"S4","T3","P. verrucosa",16.4486666666667,">14cm"
"77",474,"S4","T3","P. meandrina",15.5866666666667,">14cm"
"78",475,"S4","T3","P. meandrina",24.6053333333333,">14cm"
"79",477,"S4","T3","P. tuahiniensis",100,">14cm"
"80",477,"S4","T3","P. tuahiniensis",100,">14cm"
"81",478,"S4","T3","P. verrucosa",16.2573333333333,">14cm"
"82",479,"S4","T3","P. meandrina",12.9783333333333,">5cm-14cm"
"83",480,"S4","T3","P. meandrina",13.72,">5cm-14cm"
"84",481,"S4","T3","P. tuahiniensis",11.3833333333333,">5cm-14cm"
"85",482,"S4","T3","P. meandrina",9.47,">5cm-14cm"
"86",483,"S4","T3","P. meandrina",7.81433333333333,">5cm-14cm"
"87",484,"S4","T3","P. meandrina",8.71733333333333,">5cm-14cm"
"88",486,"S4","T3","P. tuahiniensis",8.28666666666667,">5cm-14cm"
"89",486,"S4","T3","P. meandrina",8.28666666666667,">5cm-14cm"
"90",487,"S4","T3","P. meandrina",16.847,">14cm"
"91",491,"S4","T4","P. effusa",1.97,"0-2cm"
"92",492,"S4","T4","P. effusa",1.35133333333333,"0-2cm"
"93",493,"S4","T5","P. meandrina",4.23366666666667,">2cm-5cm"
"94",494,"S4","T4","P. meandrina",3.139,">2cm-5cm"
"95",495,"S4","T4","P. grandis",2.56633333333333,">2cm-5cm"
"96",496,"S4","T4","P. effusa",1.468,"0-2cm"
"97",497,"S4","T4","P. meandrina",1.10333333333333,"0-2cm"
"98",498,"S4","T4","P. meandrina",1.74833333333333,"0-2cm"
"99",499,"S4","T4","P. meandrina",1.77766666666667,"0-2cm"
"100",500,"S4","T4","P. effusa",1.068,"0-2cm"
"101",502,"S4","T4","P. meandrina",1.77466666666667,"0-2cm"
"102",504,"S4","T4","P. meandrina",2.15633333333333,">2cm-5cm"
"103",505,"S4","T5","P. meandrina",10.407,">5cm-14cm"
"104",506,"S4","T4","P. tuahiniensis",1.04366666666667,"0-2cm"
"105",508,"S4","T4","P. verrucosa",9.40833333333333,">5cm-14cm"
"106",510,"S4","T3","P. verrucosa",4.49133333333333,">2cm-5cm"
"107",511,"S4","T5","P. grandis",2.08633333333333,">2cm-5cm"
"108",512,"S4","T5","P. meandrina",1.93766666666667,"0-2cm"
"109",513,"S4","T5","P. verrucosa",100,">14cm"
"110",514,"S4","T4","P. tuahiniensis",15.2833333333333,">14cm"
"111",515,"S4","T3","P. verrucosa",6.42333333333333,">5cm-14cm"
"112",515,"S4","T3","P. verrucosa",6.42333333333333,">5cm-14cm"
"113",516,"S4","T4","P. effusa",1.27033333333333,"0-2cm"
"114",517,"S4","T4","P. grandis",2.14833333333333,">2cm-5cm"
"115",519,"S4","T3","P. meandrina",2.29966666666667,">2cm-5cm"
"116",527,"S4","T6","P. effusa",4.823,">2cm-5cm"
"117",528,"S4","T3","P. meandrina",7.56966666666667,">5cm-14cm"
"118",528,"S4","T3","P. meandrina",100,">14cm"
"119",528,"S4","T6","P. meandrina",7.56966666666667,">5cm-14cm"
"120",528,"S4","T6","P. meandrina",100,">14cm"
"121",529,"S4","T3","P. verrucosa",9.479,">5cm-14cm"
"122",530,"S4","T5","P. meandrina",1.252,"0-2cm"
"123",531,"S4","T5","P. meandrina",1.57833333333333,"0-2cm"
"124",532,"S4","T5","P. meandrina",0.555666666666667,"0-2cm"
"125",533,"S4","T6","P. meandrina",6.95366666666667,">5cm-14cm"
"126",534,"S4","T6","P. verrucosa",100,">14cm"
"127",535,"S4","T6","P. meandrina",7.01033333333333,">5cm-14cm"
"128",536,"S4","T6","P. meandrina",150,">14cm"
"129",538,"S4","T6","P. meandrina",3.528,">2cm-5cm"
"130",539,"S4","T3","P. grandis",0.724,"0-2cm"
"131",541,"S4","T6","P. verrucosa",8.33333333333333,">5cm-14cm"
"132",542,"S4","T6","P. tuahiniensis",14.5103333333333,">14cm"
"133",545,"S4","T6","P. verrucosa",8.87066666666667,">5cm-14cm"
"134",546,"S4","T6","P. acuta",2.65233333333333,">2cm-5cm"
"135",548,"S4","T6","P. effusa",1.21733333333333,"0-2cm"
"136",549,"S4","T6","P. meandrina",9.698,">5cm-14cm"
"137",550,"S4","T6","P. meandrina",9.45466666666667,">5cm-14cm"
"138",551,"S4","T6","P. effusa",1.60133333333333,"0-2cm"
"139",552,"S4","T6","P. tuahiniensis",2.28633333333333,">2cm-5cm"
"140",554,"S4","T6","P. verrucosa",22.2443333333333,">14cm"
"141",555,"S4","T5","P. meandrina",1.80266666666667,"0-2cm"
"142",556,"S4","T6","P. meandrina",1.86566666666667,"0-2cm"
"143",557,"S4","T6","P. grandis",1.69866666666667,"0-2cm"
"144",558,"S4","T4","P. tuahiniensis",1.24833333333333,"0-2cm"
"145",573,"S4","T6","P. meandrina",7.584,">5cm-14cm"
"146",575,"S4","T6","P. meandrina",6.854,">5cm-14cm"
