"","Site","Species","LifeStage","mean_density","sd_density"
"1","S11","P. acuta","0-2cm",0.152,0.0867179335547152
"2","S11","P. acuta",">2cm-5cm",0.04,NA
"3","S11","P. effusa","0-2cm",0.0666666666666667,0.023094010767585
"4","S11","P. effusa",">2cm-5cm",0.06,0.0282842712474619
"5","S11","P. grandis","0-2cm",0.07,0.0382970843102535
"6","S11","P. grandis",">2cm-5cm",0.04,NA
"7","S11","P. grandis",">5cm-14cm",0.096,0.066932802122726
"8","S11","P. grandis",">14cm",0.0866666666666667,0.058878405775519
"9","S11","P. meandrina","0-2cm",0.46,0.225920339943087
"10","S11","P. meandrina",">2cm-5cm",0.0866666666666667,0.0776316086827181
"11","S11","P. meandrina",">5cm-14cm",0.346666666666667,0.31360272107663
"12","S11","P. meandrina",">14cm",0.206666666666667,0.111474959819085
"13","S11","P. tuahiniensis","0-2cm",0.04,0
"14","S11","P. tuahiniensis",">2cm-5cm",0.05,0.02
"15","S11","P. tuahiniensis",">5cm-14cm",0.08,0.0692820323027551
"16","S11","P. tuahiniensis",">14cm",0.113333333333333,0.0776316086827181
"17","S11","P. verrucosa","0-2cm",0.0533333333333333,0.023094010767585
"18","S11","P. verrucosa",">2cm-5cm",0.05,0.02
"19","S11","P. verrucosa",">5cm-14cm",0.09,0.0382970843102535
"20","S11","P. verrucosa",">14cm",0.208,0.148054044186574
"21","S12","P. acuta","0-2cm",0.16,0.04
"22","S12","P. acuta",">2cm-5cm",0.04,0
"23","S12","P. acuta",">14cm",0.04,NA
"24","S12","P. effusa","0-2cm",0.06,0.0282842712474619
"25","S12","P. effusa",">2cm-5cm",0.0533333333333333,0.023094010767585
"26","S12","P. effusa",">5cm-14cm",0.04,NA
"27","S12","P. effusa",">14cm",0.04,NA
"28","S12","P. grandis","0-2cm",0.16,0.0565685424949238
"29","S12","P. grandis",">2cm-5cm",0.146666666666667,0.0923760430703401
"30","S12","P. grandis",">5cm-14cm",0.0666666666666667,0.023094010767585
"31","S12","P. grandis",">14cm",0.186666666666667,0.0611010092660779
"32","S12","P. meandrina","0-2cm",0.733333333333333,0.122202018532156
"33","S12","P. meandrina",">2cm-5cm",0.226666666666667,0.0923760430703401
"34","S12","P. meandrina",">5cm-14cm",0.36,0.08
"35","S12","P. meandrina",">14cm",0.613333333333333,0.32331615074619
"36","S12","P. tuahiniensis","0-2cm",0.04,NA
"37","S12","P. tuahiniensis",">2cm-5cm",0.08,NA
"38","S12","P. tuahiniensis",">5cm-14cm",0.04,0
"39","S12","P. tuahiniensis",">14cm",0.16,0.04
"40","S12","P. verrucosa","0-2cm",0.04,NA
"41","S12","P. verrucosa",">2cm-5cm",0.04,NA
"42","S12","P. verrucosa",">5cm-14cm",0.0533333333333333,0.023094010767585
"43","S12","P. verrucosa",">14cm",0.22,0.14142135623731
"44","S14","P. acuta","0-2cm",0.08,0.04
"45","S14","P. acuta",">2cm-5cm",0.1,0.0848528137423857
"46","S14","P. acuta",">5cm-14cm",0.08,NA
"47","S14","P. effusa","0-2cm",0.06,0.0282842712474619
"48","S14","P. effusa",">2cm-5cm",0.133333333333333,0.0611010092660779
"49","S14","P. effusa",">5cm-14cm",0.06,0.0282842712474619
"50","S14","P. effusa",">14cm",0.04,0
"51","S14","P. grandis","0-2cm",0.0533333333333333,0.023094010767585
"52","S14","P. grandis",">2cm-5cm",0.04,NA
"53","S14","P. grandis",">5cm-14cm",0.04,0
"54","S14","P. grandis",">14cm",0.28,0
"55","S14","P. meandrina","0-2cm",0.613333333333333,0.272274371422162
"56","S14","P. meandrina",">2cm-5cm",0.346666666666667,0.0461880215351701
"57","S14","P. meandrina",">5cm-14cm",0.706666666666667,0.201328918273887
"58","S14","P. meandrina",">14cm",1.01333333333333,0.380175398116887
"59","S14","P. tuahiniensis","0-2cm",0.04,0
"60","S14","P. tuahiniensis",">2cm-5cm",0.08,NA
"61","S14","P. tuahiniensis",">5cm-14cm",0.04,0
"62","S14","P. tuahiniensis",">14cm",0.186666666666667,0.0611010092660779
"63","S14","P. verrucosa",">2cm-5cm",0.08,0.0565685424949238
"64","S14","P. verrucosa",">5cm-14cm",0.16,0.113137084989848
"65","S14","P. verrucosa",">14cm",0.24,0.105830052442584
"66","S15","P. acuta","0-2cm",0.1,0.0692820323027551
"67","S15","P. acuta",">2cm-5cm",0.04,0
"68","S15","P. effusa","0-2cm",0.06,0.0282842712474619
"69","S15","P. effusa",">2cm-5cm",0.05,0.02
"70","S15","P. effusa",">5cm-14cm",0.04,NA
"71","S15","P. grandis","0-2cm",0.16,0
"72","S15","P. grandis",">2cm-5cm",0.04,0
"73","S15","P. grandis",">5cm-14cm",0.06,0.0282842712474619
"74","S15","P. grandis",">14cm",0.08,0.04
"75","S15","P. meandrina","0-2cm",0.68,0.397324384686702
"76","S15","P. meandrina",">2cm-5cm",0.19,0.143759057685652
"77","S15","P. meandrina",">5cm-14cm",0.52,0.172819751957543
"78","S15","P. meandrina",">14cm",0.58,0.147873820085459
"79","S15","P. tuahiniensis","0-2cm",0.106666666666667,0.0461880215351701
"80","S15","P. tuahiniensis",">2cm-5cm",0.0533333333333333,0.023094010767585
"81","S15","P. tuahiniensis",">5cm-14cm",0.106666666666667,0.0611010092660779
"82","S15","P. tuahiniensis",">14cm",0.28,0.103279555898864
"83","S15","P. verrucosa","0-2cm",0.04,0
"84","S15","P. verrucosa",">2cm-5cm",0.08,NA
"85","S15","P. verrucosa",">5cm-14cm",0.173333333333333,0.023094010767585
"86","S15","P. verrucosa",">14cm",0.21,0.105198225587063
"87","S18","P. acuta","0-2cm",0.0533333333333333,0.023094010767585
"88","S18","P. acuta",">2cm-5cm",0.0933333333333333,0.0461880215351701
"89","S18","P. acuta",">14cm",0.04,NA
"90","S18","P. effusa","0-2cm",0.04,0
"91","S18","P. effusa",">2cm-5cm",0.12,0
"92","S18","P. grandis",">2cm-5cm",0.04,NA
"93","S18","P. grandis",">5cm-14cm",0.04,0
"94","S18","P. grandis",">14cm",0.0933333333333333,0.0611010092660779
"95","S18","P. meandrina","0-2cm",0.226666666666667,0.115470053837925
"96","S18","P. meandrina",">2cm-5cm",0.16,0.13856406460551
"97","S18","P. meandrina",">5cm-14cm",0.373333333333333,0.122202018532156
"98","S18","P. meandrina",">14cm",0.213333333333333,0.122202018532156
"99","S18","P. tuahiniensis","0-2cm",0.04,NA
"100","S18","P. tuahiniensis",">2cm-5cm",0.06,0.0282842712474619
"101","S18","P. tuahiniensis",">5cm-14cm",0.04,NA
"102","S18","P. tuahiniensis",">14cm",0.0933333333333333,0.0611010092660779
"103","S18","P. verrucosa",">2cm-5cm",0.04,NA
"104","S18","P. verrucosa",">5cm-14cm",0.08,0
"105","S18","P. verrucosa",">14cm",0.06,0.0282842712474619
"106","S2","P. acuta","0-2cm",0.0533333333333333,0.023094010767585
"107","S2","P. acuta",">2cm-5cm",0.0533333333333333,0.023094010767585
"108","S2","P. acuta",">5cm-14cm",0.04,NA
"109","S2","P. effusa","0-2cm",0.3,0.178437664185564
"110","S2","P. effusa",">2cm-5cm",0.446666666666667,0.166693331200341
"111","S2","P. effusa",">5cm-14cm",0.18,0.197989898732233
"112","S2","P. effusa",">14cm",0.12,NA
"113","S2","P. grandis","0-2cm",0.186666666666667,0.120443624433453
"114","S2","P. grandis",">2cm-5cm",0.1,0.0516397779494322
"115","S2","P. grandis",">5cm-14cm",0.04,0
"116","S2","P. grandis",">14cm",0.0533333333333333,0.023094010767585
"117","S2","P. meandrina","0-2cm",1.18666666666667,0.51391309252311
"118","S2","P. meandrina",">2cm-5cm",0.44,0.161987653850533
"119","S2","P. meandrina",">5cm-14cm",0.0866666666666667,0.0467618077780005
"120","S2","P. meandrina",">14cm",0.12,0.032659863237109
"121","S2","P. tuahiniensis","0-2cm",0.186666666666667,0.123071794764953
"122","S2","P. tuahiniensis",">2cm-5cm",0.14,0.115238882327103
"123","S2","P. tuahiniensis",">5cm-14cm",0.05,0.02
"124","S2","P. tuahiniensis",">14cm",0.1,0.023094010767585
"125","S2","P. verrucosa","0-2cm",0.06,0.0282842712474619
"126","S2","P. verrucosa",">2cm-5cm",0.04,0
"127","S2","P. verrucosa",">5cm-14cm",0.04,0
"128","S2","P. verrucosa",">14cm",0.04,0
"129","S3","P. acuta","0-2cm",0.04,0
"130","S3","P. acuta",">2cm-5cm",0.04,0
"131","S3","P. effusa","0-2cm",0.06,0.0282842712474619
"132","S3","P. effusa",">2cm-5cm",0.18,0.023094010767585
"133","S3","P. effusa",">5cm-14cm",0.1,0.0282842712474619
"134","S3","P. grandis","0-2cm",0.04,0
"135","S3","P. grandis",">2cm-5cm",0.08,0.0692820323027551
"136","S3","P. grandis",">5cm-14cm",0.12,NA
"137","S3","P. grandis",">14cm",0.0533333333333333,0.023094010767585
"138","S3","P. meandrina","0-2cm",0.13,0.0824621125123532
"139","S3","P. meandrina",">2cm-5cm",0.176,0.100399203184089
"140","S3","P. meandrina",">5cm-14cm",0.104,0.0456070170039655
"141","S3","P. meandrina",">14cm",0.08,0.04
"142","S3","P. tuahiniensis","0-2cm",0.04,0
"143","S3","P. tuahiniensis",">2cm-5cm",0.08,NA
"144","S3","P. tuahiniensis",">5cm-14cm",0.1,0.0848528137423857
"145","S3","P. tuahiniensis",">14cm",0.05,0.02
"146","S3","P. verrucosa","0-2cm",0.04,NA
"147","S3","P. verrucosa",">2cm-5cm",0.04,NA
"148","S3","P. verrucosa",">5cm-14cm",0.04,NA
"149","S3","P. verrucosa",">14cm",0.048,0.0178885438199983
"150","S4","P. acuta","0-2cm",0.08,0.0565685424949238
"151","S4","P. acuta",">2cm-5cm",0.04,NA
"152","S4","P. effusa","0-2cm",0.12,0.0979795897113272
"153","S4","P. effusa",">2cm-5cm",0.05,0.02
"154","S4","P. effusa",">5cm-14cm",0.04,NA
"155","S4","P. effusa",">14cm",0.08,0
"156","S4","P. grandis","0-2cm",0.04,0
"157","S4","P. grandis",">2cm-5cm",0.07,0.0382970843102535
"158","S4","P. grandis",">5cm-14cm",0.08,0.0565685424949238
"159","S4","P. grandis",">14cm",0.04,0
"160","S4","P. meandrina","0-2cm",0.168,0.091214034007931
"161","S4","P. meandrina",">2cm-5cm",0.153333333333333,0.0891440781357161
"162","S4","P. meandrina",">5cm-14cm",0.312,0.233923064275415
"163","S4","P. meandrina",">14cm",0.11,0.0824621125123532
"164","S4","P. tuahiniensis","0-2cm",0.0533333333333333,0.023094010767585
"165","S4","P. tuahiniensis",">2cm-5cm",0.06,0.023094010767585
"166","S4","P. tuahiniensis",">5cm-14cm",0.106666666666667,0.0461880215351701
"167","S4","P. tuahiniensis",">14cm",0.0733333333333333,0.039327683210007
"168","S4","P. verrucosa",">2cm-5cm",0.04,NA
"169","S4","P. verrucosa",">5cm-14cm",0.1,0.04
"170","S4","P. verrucosa",">14cm",0.11,0.02
"171","S5","P. acuta","0-2cm",0.12,0.0923760430703401
"172","S5","P. acuta",">2cm-5cm",0.06,0.0282842712474619
"173","S5","P. acuta",">5cm-14cm",0.04,NA
"174","S5","P. effusa","0-2cm",0.376,0.212790977252326
"175","S5","P. effusa",">2cm-5cm",0.44,0.290287214094363
"176","S5","P. effusa",">5cm-14cm",0.106666666666667,0.115470053837925
"177","S5","P. grandis","0-2cm",0.16,0.149666295470958
"178","S5","P. grandis",">2cm-5cm",0.14,0.12
"179","S5","P. grandis",">5cm-14cm",0.06,0.0282842712474619
"180","S5","P. grandis",">14cm",0.07,0.0382970843102535
"181","S5","P. meandrina","0-2cm",0.528,0.225211012164148
"182","S5","P. meandrina",">2cm-5cm",0.486666666666667,0.331219967191996
"183","S5","P. meandrina",">5cm-14cm",0.51,0.191485421551268
"184","S5","P. meandrina",">14cm",0.21,0.143759057685652
"185","S5","P. tuahiniensis","0-2cm",0.144,0.0920869154657707
"186","S5","P. tuahiniensis",">2cm-5cm",0.1,0.023094010767585
"187","S5","P. tuahiniensis",">5cm-14cm",0.11,0.06
"188","S5","P. tuahiniensis",">14cm",0.12,0.032659863237109
"189","S5","P. verrucosa","0-2cm",0.06,0.0282842712474619
"190","S5","P. verrucosa",">2cm-5cm",0.06,0.04
"191","S5","P. verrucosa",">5cm-14cm",0.07,0.02
"192","S5","P. verrucosa",">14cm",0.12,0.108320512061813
"193","S6","P. acuta","0-2cm",0.04,NA
"194","S6","P. effusa","0-2cm",0.12,NA
"195","S6","P. effusa",">2cm-5cm",0.04,NA
"196","S6","P. effusa",">5cm-14cm",0.04,NA
"197","S6","P. effusa",">14cm",0.04,NA
"198","S6","P. grandis","0-2cm",0.2,0.14422205101856
"199","S6","P. grandis",">2cm-5cm",0.0666666666666667,0.023094010767585
"200","S6","P. grandis",">5cm-14cm",0.04,NA
"201","S6","P. meandrina","0-2cm",0.853333333333333,0.506491197685935
"202","S6","P. meandrina",">2cm-5cm",0.24,0.105830052442584
"203","S6","P. meandrina",">5cm-14cm",0.52,NA
"204","S6","P. meandrina",">14cm",0.08,0.0692820323027551
"205","S6","P. tuahiniensis","0-2cm",0.08,0.04
"206","S6","P. tuahiniensis",">2cm-5cm",0.04,0
"207","S6","P. tuahiniensis",">5cm-14cm",0.04,NA
"208","S6","P. tuahiniensis",">14cm",0.04,0
"209","S6","P. verrucosa","0-2cm",0.1,0.0848528137423857
"210","S6","P. verrucosa",">2cm-5cm",0.04,0
"211","S6","P. verrucosa",">14cm",0.2,NA
"212","S9","P. acuta","0-2cm",0.0666666666666667,0.023094010767585
"213","S9","P. acuta",">2cm-5cm",0.04,NA
"214","S9","P. effusa","0-2cm",0.12,0
"215","S9","P. effusa",">2cm-5cm",0.226666666666667,0.100664459136943
"216","S9","P. effusa",">5cm-14cm",0.04,0
"217","S9","P. grandis","0-2cm",0.146666666666667,0.0461880215351701
"218","S9","P. grandis",">2cm-5cm",0.106666666666667,0.0461880215351701
"219","S9","P. grandis",">5cm-14cm",0.04,0
"220","S9","P. meandrina","0-2cm",1.42666666666667,0.333066559914581
"221","S9","P. meandrina",">2cm-5cm",0.466666666666667,0.100664459136943
