long,lat,site.name,,
-149.8764837,-17.48523962,PH site1,,
-149.8526452,-17.48223933,PH site2,,
-149.8344367,-17.47810177,PH site3,,
-149.8076461,-17.47569278,PH site4,,
-149.7835691,-17.47304608,PH site5,,
-149.7614724,-17.50575957,PH site6,,
-149.7845548,-17.56535312,PH site9,,
-149.804473,-17.60276752,PH site11,,
-149.8478059,-17.59508584,PH site12,,
-149.8837824,-17.56500936,PH site14,,
-149.9007712,-17.54654008,PH site15,,
-149.9239404,-17.49378121,PH site18,,
-149.8380777,-17.47495222,LTER ForeReef 1,,
-149.8070126,-17.47188543,LTER ForeReef 2,,
-149.7612563,-17.51328515,LTER ForeReef 3,,
-149.7683094,-17.54608351,LTER ForeReef 4,,
-149.8747387,-17.58130566,LTER ForeReef 5,,
-149.9246295,-17.51852757,LTER ForeReef 6,,
-149.8425765,-17.47823787,LTER BackReef 1,,
-149.8033863,-17.47700229,LTER BackReef 2,,
-149.7643003,-17.51396455,LTER BackReef 3,,
-149.7696695,-17.54318109,LTER BackReef 4,,
-149.8714356,-17.57932994,LTER BackReef 5,,
-149.9210026,-17.52112157,LTER BackReef 6,,
