Collection.Date,Sample.ID,Stage,Site,Transect
20/02/2023,1239,Recruit,S1,T1
20/02/2023,1240,Adult,S1,T1
20/02/2023,1241,Adult,S1,T1
20/02/2023,1242,Adult,S1,T1
20/02/2023,1243,Recruit,S1,T1
20/02/2023,1244,Adult,S1,T1
20/02/2023,1245,Adult,S1,T1
20/02/2023,1246,Adult,S1,T1
20/02/2023,1247,Recruit,S1,T1
20/02/2023,1248,Adult,S1,T1
20/02/2023,1249,Adult,S1,T1
20/02/2023,1250,Recruit,S1,T1
20/02/2023,1251,Recruit,S1,T1
20/02/2023,1252,Adult,S1,T1
20/02/2023,1253,Recruit,S1,T1
20/02/2023,1254,Recruit,S1,T1
20/02/2023,1255,Adult,S1,T1
20/02/2023,1256,Recruit,S1,T1
20/02/2023,1257,Recruit,S1,T1
20/02/2023,1258,Recruit,S1,T1
20/02/2023,1259,Adult,S1,T1
20/02/2023,1260,Recruit,S1,T1
20/02/2023,1232,Adult,S1,T2
20/02/2023,1233,Recruit,S1,T2
20/02/2023,1234,Recruit,S1,T2
20/02/2023,1235,Adult,S1,T2
20/02/2023,1236,Adult,S1,T2
20/02/2023,1237,Recruit,S1,T2
20/02/2023,1238,Recruit,S1,T2
21/02/2023,1231,Recruit,S1,T3
21/02/2023,1268,Recruit,S1,T3
21/02/2023,1269,Adult,S1,T3
21/02/2023,1270,Adult,S1,T3
21/02/2023,1271,Recruit,S1,T3
21/02/2023,1272,Recruit,S1,T3
21/02/2023,1273,Recruit,S1,T3
21/02/2023,1274,Adult,S1,T3
21/02/2023,1275,Recruit,S1,T3
21/02/2023,1276,Adult,S1,T3
21/02/2023,1277,Recruit,S1,T3
21/02/2023,1278,Recruit,S1,T3
21/02/2023,1279,Adult,S1,T3
21/02/2023,1280,Adult,S1,T3
21/02/2023,1282,Adult,S1,T3
21/02/2023,1286,Adult,S1,T3
21/02/2023,1306,Adult,S1,T3
21/02/2023,1307,Recruit,S1,T3
21/02/2023,1309,Adult,S1,T3
21/02/2023,1310,Recruit,S1,T3
21/02/2023,1311,Adult,S1,T3
21/02/2023,1312,Adult,S1,T3
21/02/2023,1313,Adult,S1,T3
