site,date_local,min_temp_c,max_temp_c,median_temp_c,mean_temp_c
B10,2021-08-07,26.8831,27.4714,26.9999,27.12508051
B10.5,2021-08-07,26.9054,27.5422,26.9888,27.12603969
B11,2021-08-07,26.9111,27.4936,27.1701,27.158825
B12,2021-08-07,26.9059,27.5097,27.08635,27.15252243
B13,2021-08-07,26.9426,27.5237,27.0759,27.19864321
B14,2021-08-07,26.9348,27.2282,26.9705,27.02709513
B15,2021-08-07,26.8957,27.3343,26.95,27.04204513
B16,2021-08-07,26.9091,27.3428,26.9619,27.04116687
B17,2021-08-07,26.8985,27.3468,27.0028,27.08720966
B18,2021-08-07,26.9406,27.2526,27.0131,27.05476731
B19,2021-08-07,26.9293,27.3626,27.05705,27.09612848
B20,2021-08-07,26.9626,27.1746,27.01435,27.04100103
B21,2021-08-07,26.9723,27.2769,27.00375,27.04428333
B22,2021-08-07,26.9662,27.219,27.11375,27.09331259
B10,2021-08-08,26.8297,27.8978,27.0865,27.23806958
B10.5,2021-08-08,26.8676,27.7316,27.08535,27.18690472
B11,2021-08-08,26.861,27.6629,27.09525,27.14900069
B12,2021-08-08,26.8393,27.8555,27.16475,27.21768833
B13,2021-08-08,26.8516,27.8309,27.10995,27.22969347
B14,2021-08-08,26.9184,27.7445,27.202,27.23942125
B15,2021-08-08,26.907,27.7456,27.0714,27.14783792
B16,2021-08-08,26.861,27.5532,27.1158,27.15536319
B17,2021-08-08,26.8658,27.8131,27.0586,27.20180819
B18,2021-08-08,26.8675,27.723,27.0898,27.17290611
B19,2021-08-08,26.8842,27.8003,27.2499,27.24468708
B20,2021-08-08,26.9094,27.6384,27.1269,27.16078486
B21,2021-08-08,26.9064,27.6559,27.1101,27.15700583
B22,2021-08-08,26.9123,27.5429,26.9967,27.13031
B10,2021-08-09,26.7594,27.6068,27.1004,27.15266014
B10.5,2021-08-09,26.7952,27.6157,27.15665,27.16360514
B11,2021-08-09,26.8653,27.6111,27.1866,27.17375903
B12,2021-08-09,26.7109,27.7835,27.08285,27.13382819
B13,2021-08-09,26.701,27.6419,27.0525,27.11855167
B14,2021-08-09,26.9503,27.4678,27.0921,27.12484708
B15,2021-08-09,26.9407,27.3533,27.0563,27.08779208
B16,2021-08-09,26.9454,27.5304,27.1074,27.12581153
B17,2021-08-09,26.9084,27.3808,27.0349,27.07880097
B18,2021-08-09,26.8614,27.3044,27.06125,27.073905
B19,2021-08-09,26.8184,27.6475,26.9932,27.11260875
B20,2021-08-09,26.8552,27.4959,27.03455,27.10420708
B21,2021-08-09,26.8984,27.4279,27.01805,27.09625708
B22,2021-08-09,26.8894,27.4103,27.0096,27.08420792
B10,2021-08-10,26.7113,27.4377,26.9601,27.00529222
B10.5,2021-08-10,26.7858,27.2925,26.97835,27.00368583
B11,2021-08-10,26.8805,27.2602,26.9841,27.01666653
B12,2021-08-10,26.7304,27.4663,26.9339,26.97661792
B13,2021-08-10,26.7663,27.4917,26.9121,26.99481375
B14,2021-08-10,26.9046,27.3394,27.0205,27.03740069
B15,2021-08-10,26.8995,27.2637,27.03695,27.05181014
B16,2021-08-10,26.9096,27.2284,27.02605,27.04187333
B17,2021-08-10,26.9163,27.3016,27.06485,27.05902917
B18,2021-08-10,26.9376,27.2754,27.0346,27.04174417
B19,2021-08-10,26.8945,27.33,26.97735,27.01922542
B20,2021-08-10,26.9091,27.255,26.97185,27.01119625
B21,2021-08-10,26.9232,27.2309,26.99125,27.02212236
B22,2021-08-10,26.9022,27.1865,26.99735,27.01582931
B10,2021-08-11,26.8794,27.5153,27.019,27.09583792
B10.5,2021-08-11,26.9164,27.3944,27.06175,27.09598472
B11,2021-08-11,26.9077,27.3241,27.0378,27.07428097
B12,2021-08-11,26.7856,27.5272,27.0663,27.09226847
B13,2021-08-11,26.8383,27.4951,26.9642,27.06243056
B14,2021-08-11,26.8977,27.3595,27.02635,27.0630075
B15,2021-08-11,26.9089,27.2758,27.0395,27.04670083
B16,2021-08-11,26.9132,27.3197,27.0656,27.05960958
B17,2021-08-11,26.9064,27.3124,27.00105,27.03626222
B18,2021-08-11,26.9008,27.43,27.01205,27.06946764
B19,2021-08-11,26.8485,27.5183,26.9606,27.05956444
B20,2021-08-11,26.8726,27.3539,27.0136,27.05862278
B21,2021-08-11,26.8885,27.3392,27.0237,27.05970569
B22,2021-08-11,26.8784,27.3471,26.98455,27.04313472
B10,2021-08-12,26.8894,27.5302,26.98645,27.10501528
B10.5,2021-08-12,26.9104,27.467,27.0216,27.11174361
B11,2021-08-12,26.9256,27.4008,27.049,27.09674972
B12,2021-08-12,26.8441,27.5249,27.02935,27.09539722
B13,2021-08-12,26.8625,27.4916,26.9813,27.07923819
B14,2021-08-12,26.9565,27.3771,27.0046,27.07481417
B15,2021-08-12,26.8865,27.3012,27.0033,27.03853181
B16,2021-08-12,26.8583,27.3092,26.9991,27.03547431
B17,2021-08-12,26.8927,27.3032,26.9774,27.02963361
B18,2021-08-12,26.8654,27.2756,26.98185,27.02272333
B19,2021-08-12,26.8215,27.4009,26.9487,27.02515333
B20,2021-08-12,26.8349,27.327,26.94145,27.00017792
B21,2021-08-12,26.8593,27.2776,26.94955,27.00788681
B22,2021-08-12,26.8656,27.3787,26.94465,27.02147611
B10,2021-08-13,26.9008,27.0768,26.94155,26.95498236
B10.5,2021-08-13,26.8885,27.1157,26.93405,26.95298181
B11,2021-08-13,26.9091,27.087,26.93935,26.95668014
B12,2021-08-13,26.8613,27.1066,26.91985,26.93113611
B13,2021-08-13,26.8423,27.0617,26.93085,26.92921292
B14,2021-08-13,26.8514,27.0546,26.9522,26.93745014
B15,2021-08-13,26.7854,26.9773,26.8671,26.87570792
B16,2021-08-13,26.7846,27.0234,26.8947,26.87982417
B17,2021-08-13,26.7559,27.0412,26.91625,26.90699917
B18,2021-08-13,26.8235,27.0344,26.95555,26.93519861
B19,2021-08-13,26.8493,27.0722,26.9806,26.95656639
B20,2021-08-13,26.8699,27.0992,26.9948,26.98819944
B21,2021-08-13,26.9192,27.0981,26.99995,26.98986319
B22,2021-08-13,26.9099,27.0797,26.9872,26.98170569
B10,2021-08-14,26.8582,27.1838,26.97935,26.98566458
B10.5,2021-08-14,26.8568,27.2204,26.9573,26.97201028
B11,2021-08-14,26.8468,27.1055,26.93665,26.94043194
B12,2021-08-14,26.8067,27.2003,26.94265,26.97206278
B13,2021-08-14,26.8391,27.2323,26.9971,27.01560222
B14,2021-08-14,26.8137,27.1933,27.0071,27.00161847
B15,2021-08-14,26.7831,27.1735,26.9321,26.94599833
B16,2021-08-14,26.7686,27.1602,26.9541,26.93571125
B17,2021-08-14,26.7904,27.2199,26.96765,26.97813611
B18,2021-08-14,26.8377,27.2205,27.0078,27.00932431
B19,2021-08-14,26.9173,27.2617,27.01025,27.05175194
B20,2021-08-14,26.9855,27.1766,27.04945,27.06332111
B21,2021-08-14,26.9779,27.2046,27.05285,27.06355486
B22,2021-08-14,26.9682,27.1813,27.05305,27.06334083
B10,2021-08-15,26.8928,27.402,27.0328,27.06129694
B10.5,2021-08-15,26.879,27.5476,27.03495,27.07081583
B11,2021-08-15,26.8648,27.3279,27.0795,27.05602083
B12,2021-08-15,26.8364,27.3691,26.96295,27.01091903
B13,2021-08-15,26.8872,27.5578,26.9876,27.04887653
B14,2021-08-15,26.8689,27.3154,26.97975,27.02297486
B15,2021-08-15,26.8856,27.16,26.9401,26.97636
B16,2021-08-15,26.8926,27.1898,26.95655,26.99067444
B17,2021-08-15,26.8067,27.2963,26.96525,26.99094208
B18,2021-08-15,26.861,27.2469,26.9837,27.00774208
B19,2021-08-15,26.8977,27.4329,26.96505,27.05251361
B20,2021-08-15,26.8269,27.2306,26.9481,26.97973819
B21,2021-08-15,26.8405,27.2191,26.96035,26.97532986
B22,2021-08-15,26.8436,27.2003,26.97125,26.97815917
B10,2021-08-16,26.9074,27.2717,27.0476,27.04471611
B10.5,2021-08-16,26.9171,27.3017,27.05335,27.05393639
B11,2021-08-16,26.9153,27.253,27.0513,27.05033944
B12,2021-08-16,26.9343,27.3685,27.048,27.05866542
B13,2021-08-16,26.8954,27.3694,27.0178,27.04870361
B14,2021-08-16,26.9233,27.2191,27.0302,27.03405417
B15,2021-08-16,26.8995,27.1634,26.99015,26.99364958
B16,2021-08-16,26.9029,27.2372,27.01245,27.01651167
B17,2021-08-16,26.8728,27.2293,27.0173,27.00498819
B18,2021-08-16,26.8881,27.2059,27.03625,27.02568319
B19,2021-08-16,26.852,27.4074,27.01635,27.03364194
B20,2021-08-16,26.8002,27.1839,26.9202,26.95446056
B21,2021-08-16,26.7486,27.0772,26.86555,26.89595819
B22,2021-08-16,26.7978,27.158,26.886,26.91312569
B10,2021-08-17,26.9018,27.2029,26.96865,27.00612847
B10.5,2021-08-17,26.9225,27.1975,26.9807,27.01004111
B11,2021-08-17,26.8827,27.1541,26.9728,26.98227097
B12,2021-08-17,26.834,27.2035,26.8993,26.93621708
B13,2021-08-17,26.8544,27.1024,26.9188,26.94493694
B14,2021-08-17,26.8978,27.1019,26.97425,26.97620833
B15,2021-08-17,26.8993,27.0399,26.9582,26.96536514
B16,2021-08-17,26.9158,27.0322,26.97005,26.97002264
B17,2021-08-17,26.8739,27.1015,26.94135,26.96118083
